"mechanism_id","orynth_candidate_mechanism","evidence_paths","correspondence_grade","rationale"
"US-CM-000145","EXECUTIVE-AUTHORITY / PRE-EXECUTION-PROCESS CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Preexisting architecture separately types Article II executive authority and constitutional process, but no presidential-oath admission mechanism or prescribed-oath-content resolver is independently formalized."
"US-CM-000146","EXECUTIVE-AUTHORITY / OPERATION-SCOPED-AUTHORITY CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Executive authority, scope and jurisdiction are preexisting concepts; no Commander-in-Chief force-class or militia-federal-service mechanism is independently represented."
"US-CM-000147","EXECUTIVE-AUTHORITY / DUTY-SCOPED-INFORMATION CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Executive duties and authority scope preexist architecturally, but the principal-officer, written-form and official-duty opinion conditions are not separately implemented."
"US-CM-000148","EXECUTIVE-AUTHORITY / NEGATIVE-SCOPE CONCEPT","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;13-invariants/CSI_CANONICAL_INVARIANTS.md","C1","Preexisting ORYNTH separates executive power from scope and limitation, but no federal-clemency action domain or impeachment exception mechanism is formalized."
"US-CM-000149","MULTI-ACTOR AUTHORITY / CONCURRENCE-BOUND EXECUTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml","C2","ORYNTH preexists with independently typed principals, authority collision handling and authority-gated execution, corresponding architecturally to required independent participation; the Senate two-thirds treaty threshold itself is not formalized."
"US-CM-000150","STAGED AUTHORITY / PROPOSAL-NOT-EFFECT ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml;17-reference-implementation/src/csi/authority_resolver.py","C2","ORYNTH formally separates actor authority and consequential permission, supporting nomination-versus-completed-effect separation architecturally; no federal nomination operation is registered."
"US-CM-000151","MULTI-PRINCIPAL APPOINTMENT / EFFECT-BOUNDARY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml","C2","Independent principal classes and blocked consequential execution under unresolved authority correspond architecturally to presidential-plus-Senate appointment; covered office classes are not independently formalized."
"US-CM-000152","SOURCE-BOUNDED SECONDARY VESTING / DELEGATION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;09-uaa-bridge/constitutional/CSI_UAA_INTERFACE.yaml;17-reference-implementation/src/csi/authority_resolver.py","C2","ORYNTH requires delegated authority to remain within principal and source scope, corresponding architecturally to congressional secondary vesting; the constitutional inferior-officer vestee set is not independently registered."
"US-CM-000153","CONDITIONED EXECUTIVE AUTHORITY / TEMPORAL AUTHORITY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/authority_resolver.py;17-reference-implementation/src/csi/temporal_authority.py","C2","Actor-scoped and temporally bounded authority resolution preexists; exact Senate-recess vacancy triggering and commission-grant semantics are not independently implemented."
"US-CM-000154","TEMPORALLY EXPIRING AUTHORITY ARCHITECTURE","04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/temporal_authority.py;13-invariants/CSI_CANONICAL_INVARIANTS.md","C2","ORYNTH includes explicit valid-until and expired authority states, but does not encode end-of-next-Senate-session as the specific recess-commission expiry rule."
