"mechanism_id","source_clause_id","source_global_ordinal","source_text_sha256","mechanism_family","normalized_mechanism","negative_condition","jurisdiction_scope","source_text_mutation","doctrine_used","amendments_reconciled","orynth_concepts_used","predicate_created","normalization_status"
"US-CM-000109","US-CONST-ATOM-000109","109","B0D7EA96AD3540668A40E33C369EC86738A2595FC0FDAAFD42DE1504F844D910","F5","A State may not pass a law impairing the obligation of contracts.","State legislation impairing contractual obligations is prohibited by this source clause.","UNITED-STATES/STATES/CONTRACT-OBLIGATIONS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000110","US-CONST-ATOM-000110","110","A4620EDE7BD7AD5B44DFA2CDBACEF1F0315BE77AFB29C6D7171ABE6F6E9C6243","F5","A State may not grant a title of nobility.","State grant of a title of nobility is constitutionally prohibited.","UNITED-STATES/STATES/TITLES-NOBILITY","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000111","US-CONST-ATOM-000111","111","D988AA5DE6047C401BAE02D7A2765C83F138251F76E98ED01BA25CE653D5B353","F5","A State may not lay imposts or duties on imports or exports without congressional consent, except amounts absolutely necessary for executing its inspection laws.","State import or export imposts and duties outside the stated congressional-consent or inspection-law exception are prohibited.","UNITED-STATES/STATES/IMPORT-EXPORT-DUTIES","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000112","US-CONST-ATOM-000112","112","45964093B62C9CE193807F90CBF6F4EF408F43C3AD0CDA1EAC331B48D39F0C2F","F3","The net proceeds of State duties and imposts on imports or exports are directed to the Treasury of the United States.","The source does not authorize diversion of the identified net proceeds from the stated Treasury destination.","UNITED-STATES/STATES/IMPORT-EXPORT-DUTIES/PROCEEDS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000113","US-CONST-ATOM-000113","113","98E0830FF0A21F924B7E70C0BED7DFC01706783C7B84371527C03EDD49189D03","F2","State laws enacted within the import-export impost framework remain subject to revision and control by Congress.","State enactment under this framework does not become constitutionally insulated from the separate congressional revision-and-control authority.","UNITED-STATES/FEDERAL-STATE/IMPORT-EXPORT-LAW-REVIEW","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000114","US-CONST-ATOM-000114","114","FA1E943A108AF646D075EF3D5DAD3948A062DA5390D6E90A07469A4B2F24BD5A","F5","A State may not lay a duty of tonnage without congressional consent.","State tonnage duties absent congressional consent are prohibited.","UNITED-STATES/STATES/TONNAGE-DUTIES","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000115","US-CONST-ATOM-000115","115","2AE04DF97CADB9ED8D78ADB1D231BDB054C81B3A63DEE391D17A641F9C3254E4","F5","A State may not keep troops or ships of war in time of peace without congressional consent.","State maintenance of troops or ships of war during peace without congressional consent is prohibited.","UNITED-STATES/STATES/PEACETIME-MILITARY-FORCES","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000116","US-CONST-ATOM-000116","116","FDAC61FA9B2BA46A1EF8A94A5A2CDB7EFB986AB46F3618C06A4ED39A430981BF","F5","A State may not enter into an agreement or compact with another State or a foreign power without congressional consent.","State entry into the identified agreements or compacts absent congressional consent is prohibited.","UNITED-STATES/STATES/COMPACTS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000117","US-CONST-ATOM-000117","117","F90D0A16F9F2CAA2EE395EAA3008A7B6B22FE0181515ECF0E82B133730531676","F5","A State may not engage in war without congressional consent except when actually invaded or facing imminent danger that does not admit delay.","State engagement in war outside congressional consent or the stated emergency exception is prohibited.","UNITED-STATES/STATES/WAR","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000118","US-CONST-ATOM-000118","118","C0E2EF362F3330294F06B48B3EFBCE988BD911B120405989FE590AD77337B840","F1","The executive power is vested in the President of the United States.","Federal executive authority is not established by this clause in an unidentified or different principal.","UNITED-STATES/FEDERAL/EXECUTIVE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000119","US-CONST-ATOM-000119","119","7F1967216BCB9BB54942C234B8E2DCC4238204D89E19E173F6ACC7E7C742E4A0","F3","The President serves a four-year term and the Vice President is chosen for the same term under the election procedure stated in the source.","The offices and term established by this clause remain bounded by the stated duration and election structure.","UNITED-STATES/PRESIDENT-VICE-PRESIDENT/TERM","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000120","US-CONST-ATOM-000120","120","C2894909B2329014434F9D53E97CE84EF2EEC8E89C71FA88026897131FC81397","F6","Each State appoints electors in the manner directed by its legislature, with the number equal to that State's total Senators and Representatives in Congress.","Elector appointment authority under this clause operates within each State and is bounded by the stated numerical allocation.","UNITED-STATES/STATES/PRESIDENTIAL-ELECTORS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000121","US-CONST-ATOM-000121","121","DED23434F51663FF05FFD9AF3318758C35FD6C730DDF8156B2A89A220A68857A","F5","A Senator, Representative, or person holding an office of trust or profit under the United States may not be appointed an elector.","Appointment of a constitutionally excluded federal officeholder as an elector is prohibited.","UNITED-STATES/PRESIDENTIAL-ELECTORS/INELIGIBILITY","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000122","US-CONST-ATOM-000122","122","FBD9F8173BC237F25D70ABB10AE394DE33D58F54347CD6740C0D4EF85005E76A","F3","Electors meet in their respective States and vote by ballot for two persons, at least one of whom must not inhabit the same State as the electors.","The original electoral procedure is not satisfied where its stated meeting, ballot, or inhabitancy condition is absent.","UNITED-STATES/STATES/PRESIDENTIAL-ELECTOR-PROCEDURE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000123","US-CONST-ATOM-000123","123","E87E99AF81F8ABC1B2077A92B21A91F2665F0C9A2B8481F9B9025A57529D8F7B","F3","Electors must create a list identifying all persons voted for and the number of votes received by each.","The electoral record required by this clause is incomplete if candidates or vote counts are omitted.","UNITED-STATES/PRESIDENTIAL-ELECTORS/VOTE-LIST","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000124","US-CONST-ATOM-000124","124","7A80BEAB85D8B793C6BDDFAC37A044B89BEF8531CCC6685E235E05E051DE65F6","F3","Electors must sign, certify, seal, and transmit their vote list to the seat of the United States Government addressed to the President of the Senate.","The transmission procedure established by this clause is not satisfied without the identified certification, sealing, destination, and addressee requirements.","UNITED-STATES/PRESIDENTIAL-ELECTORS/CERTIFICATION-TRANSMISSION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000125","US-CONST-ATOM-000125","125","02530A058D0ECF6E1BC08B67C2C3D8373D3BC39F3CC01F4E5888D3A41E8C8175","F4","The President of the Senate opens the electoral certificates in the presence of the Senate and House of Representatives.","The certificate-opening procedure established by this clause is not satisfied outside the required bicameral presence.","UNITED-STATES/PRESIDENTIAL-ELECTION/CERTIFICATE-OPENING","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000126","US-CONST-ATOM-000126","126","2AE789624A25054AB130F47F2778168CA4EC52901971FCA49F4AA9F77D2B10FC","F3","After the electoral certificates are opened, the votes are counted.","The electoral procedure established by this source does not omit the vote-counting stage.","UNITED-STATES/PRESIDENTIAL-ELECTION/VOTE-COUNT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000127","US-CONST-ATOM-000127","127","3C184442A433DE297C917C6FC5F41CB9ACED3167ECB2BC3720C15F0B9D3A03F6","F4","Under the original electoral rule, the person with the greatest number of votes becomes President only if that number is a majority of the whole number of electors appointed.","Presidential selection under this clause is not established without the stated majority threshold.","UNITED-STATES/PRESIDENTIAL-ELECTION/MAJORITY","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000128","US-CONST-ATOM-000128","128","D934DA2EB7E2777DB92E6C89D516B30AD91641CBF6C969435320AE8AE4A17013","F3","If multiple persons have both an electoral majority and an equal number of votes, the House of Representatives immediately chooses one of them for President by ballot.","The contingent House selection authority established here is triggered only by the stated majority-and-tie condition.","UNITED-STATES/HOUSE/CONTINGENT-PRESIDENTIAL-ELECTION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000129","US-CONST-ATOM-000129","129","7AB0AC8A608B1910A466D790FF71227230E1EDC68E56F262A732FF5B6A30B8B7","F3","If no person receives an electoral majority, the House chooses the President from the five highest persons on the list under the original procedure.","The contingent House authority established here is triggered only by absence of an electoral majority and is bounded to the identified candidate set.","UNITED-STATES/HOUSE/CONTINGENT-PRESIDENTIAL-ELECTION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000130","US-CONST-ATOM-000130","130","3A52D3063A83E7B2D19DF09F1777AFE044EEFEAA8C1E076D9FB1153FDA8B6A07","F3","In a contingent presidential choice by the House, votes are taken by States and each State representation has one vote.","The voting method established by this clause does not assign House contingent-election votes by individual member.","UNITED-STATES/HOUSE/CONTINGENT-PRESIDENTIAL-ELECTION/VOTE-METHOD","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000131","US-CONST-ATOM-000131","131","A6704C068CD9BF79C38DDCEEB24105AF4759D5350231338FDA18D204E20E4F45","F4","A quorum for the House's contingent presidential choice requires representation from two thirds of the States.","The contingent presidential choice is not procedurally constituted below the stated two-thirds-of-States quorum.","UNITED-STATES/HOUSE/CONTINGENT-PRESIDENTIAL-ELECTION/QUORUM","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000132","US-CONST-ATOM-000132","132","028E9853A7004B7BB46CFBCA2EBBFA7A8DACAEF11838194DFEFE4C062EBAE8BC","F4","A majority of all States is required for the House to make a contingent choice of President.","A contingent presidential choice is not established below the stated majority-of-all-States threshold.","UNITED-STATES/HOUSE/CONTINGENT-PRESIDENTIAL-ELECTION/CHOICE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000133","US-CONST-ATOM-000133","133","A85F866A419BC56B5A718F79CDE66513E9B4E170747CB707708C991313DA02DC","F3","Under the original electoral rule, after selection of the President, the person with the greatest number of electoral votes becomes Vice President.","The Vice-Presidential result under this source is bounded to the stated original ranking rule.","UNITED-STATES/VICE-PRESIDENTIAL-ELECTION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000134","US-CONST-ATOM-000134","134","DA2F43594D76DFCB16FC441BBED3F9F4134C280E78DEC1527FCDA1F61B5E5712","F3","If two or more persons remain tied for Vice President under the original electoral procedure, the Senate chooses the Vice President from them by ballot.","The Senate contingent-selection authority established here is triggered only by the stated Vice-Presidential tie condition.","UNITED-STATES/SENATE/CONTINGENT-VICE-PRESIDENTIAL-ELECTION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000135","US-CONST-ATOM-000135","135","262FDD24DDE3433754A7EA401E5DEBFE286A082320F2BD7E82EF2725A241CFB7","F3","Congress may determine the time for choosing presidential electors.","The temporal authority established by this clause is bounded to determination of the elector-selection time.","UNITED-STATES/CONGRESS/PRESIDENTIAL-ELECTION/TIMING","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000136","US-CONST-ATOM-000136","136","5950E01BF494ADC8653EED8C2D3E12F1F5787F7588F1DE0942E4D79E88A61D91","F3","Congress may determine the day on which presidential electors cast their votes.","The temporal authority established by this clause is bounded to determination of the elector-voting day.","UNITED-STATES/CONGRESS/PRESIDENTIAL-ELECTION/VOTING-DAY","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000137","US-CONST-ATOM-000137","137","6EF1BEC7F394CF4927C7E39A64E5BD99813D12AC92A4D0B036860C06C5543B16","F5","The elector-voting day determined under the source rule must be the same throughout the United States.","Different elector-voting days among States are inconsistent with the uniformity constraint stated in this clause.","UNITED-STATES/PRESIDENTIAL-ELECTION/UNIFORM-DAY","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000138","US-CONST-ATOM-000138","138","23199B9AAE257FB927EF79B2F280ACA3D30158DE5644378490F0EB1DAA3339F0","F3","Eligibility for the Presidency is bounded by the citizenship qualification stated in the source.","A person outside the stated citizenship qualification is not eligible to the Presidency under this clause.","UNITED-STATES/PRESIDENT/ELIGIBILITY/CITIZENSHIP","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000139","US-CONST-ATOM-000139","139","B1ACF7EFFD8843C2A3D5FB07E9AA993B5375F8CBCB6E299C98CBE1F1CFD2C7ED","F3","Eligibility for the Presidency is bounded by a minimum age of thirty-five years and fourteen years of residence within the United States.","A person failing either stated age or residence qualification is not eligible under this clause.","UNITED-STATES/PRESIDENT/ELIGIBILITY/AGE-RESIDENCE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000140","US-CONST-ATOM-000140","140","B812870796A14047F514EDFBA0EE6EAF0493C8DADD7F61954C91B7F80A56827D","F1","Upon presidential removal, death, resignation, or inability, the powers and duties of the office devolve on the Vice President under the source rule.","Presidential authority does not devolve to the Vice President under this clause absent one of the stated triggering conditions.","UNITED-STATES/PRESIDENTIAL-SUCCESSION/VICE-PRESIDENT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000141","US-CONST-ATOM-000141","141","38404D28AE8E39F08D92CF2D4AF252773DEECB5CC2B8C877FF0BC04F0173E63F","F3","Congress may by law provide for simultaneous presidential and vice-presidential removal, death, resignation, or inability by declaring which officer acts as President until the stated terminating condition.","Congressional succession authority under this clause is bounded to the stated dual-vacancy or inability conditions and temporary acting period.","UNITED-STATES/CONGRESS/PRESIDENTIAL-SUCCESSION","NONE","NO","NO","NO","NO","NORMALIZED"
