"candidate_id","mechanism_id","mechanism_family","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","derivation_status","orynth_mapping","proof_binding","notes"
"US-CP-CAND-W06-0001","US-CM-000181","F6","OUTSIDE-STATE-TRIGGER","crime_committed_within_any_state == FALSE","The covered crime was not committed within any State.","The outside-State venue mechanism is invoked for a crime committed within a State.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0002","US-CM-000181","F6","CONGRESSIONAL-LAW-DIRECTION","outside_state_trial_venue_directed_by_congressional_law == TRUE","Congress directs the place or places of trial by law.","Outside-State venue is asserted without congressional direction by law.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0003","US-CM-000181","F6","DIRECTED-VENUE-MATCH","trial_venue in CONGRESSIONALLY_DIRECTED_PLACES","The trial occurs at a place directed by Congress.","The trial occurs outside the congressionally directed place or places.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0004","US-CM-000182","F3","TREASON-OFFENSE-CLASS","treason_conduct_class in {LEVY_WAR_AGAINST_UNITED_STATES,ADHERE_TO_ENEMIES}","Conduct falls within a constitutionally stated treason category.","Conduct outside the stated categories is treated as treason.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0005","US-CM-000182","F3","ENEMY-ADHERENCE-AID-COMFORT","if treason_conduct_class == ADHERE_TO_ENEMIES then aid_and_comfort_given == TRUE","Enemy-adherence treason includes giving aid and comfort.","Enemy adherence is treated as satisfying this source path without aid and comfort.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0006","US-CM-000183","F3","TREASON-EVIDENTIARY-PATH","treason_conviction_path in {TWO_WITNESSES_SAME_OVERT_ACT,CONFESSION_OPEN_COURT}","A treason conviction uses one of the two source-defined evidentiary paths.","Conviction proceeds through a path outside those stated in the source.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0007","US-CM-000183","F3","TWO-WITNESS-THRESHOLD","if treason_conviction_path == TWO_WITNESSES_SAME_OVERT_ACT then witness_count >= 2","The witness path uses at least two witnesses.","The witness path uses fewer than two witnesses.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0008","US-CM-000183","F3","SAME-OVERT-ACT","if treason_conviction_path == TWO_WITNESSES_SAME_OVERT_ACT then witnesses_testify_to_same_overt_act == TRUE","The witnesses testify to the same overt act.","The witness path lacks testimony to the same overt act.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0009","US-CM-000183","F3","OPEN-COURT-CONFESSION","if treason_conviction_path == CONFESSION_OPEN_COURT then confession_location == OPEN_COURT","The confession path occurs in open court.","The confession path is asserted without an open-court confession.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0010","US-CM-000184","F3","TREASON-PUNISHMENT-ACTOR","treason_punishment_declaring_actor == CONGRESS","Congress declares the punishment of treason.","The source punishment authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0011","US-CM-000184","F3","TREASON-PUNISHMENT-SCOPE","punishment_offense == TREASON","The enumerated punishment authority is applied to treason.","The mechanism is extended beyond its source-defined offense scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0012","US-CM-000185","F5","CORRUPTION-OF-BLOOD-PROHIBITION","attainder_of_treason_causes_corruption_of_blood == FALSE","Attainder of treason does not work corruption of blood.","Attainder of treason causes corruption of blood.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0013","US-CM-000186","F5","TREASON-FORFEITURE-SCOPE","forfeiture_origin == ATTAINDER_OF_TREASON","The temporal limitation concerns forfeiture resulting from attainder of treason.","The mechanism is attributed to a forfeiture outside its source scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0014","US-CM-000186","F5","FORFEITURE-LIFETIME-LIMIT","forfeiture_end <= attainted_person_life_end","Forfeiture does not extend beyond the life of the person attainted.","Forfeiture continues beyond the attainted person's life.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0015","US-CM-000187","F6","FULL-FAITH-CREDIT-MATERIAL-SCOPE","interstate_material_type in {PUBLIC_ACT,RECORD,JUDICIAL_PROCEEDING}","The material is within the source-defined interstate classes.","The mechanism is attributed outside the covered material classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0016","US-CM-000187","F6","INTERSTATE-CREDIT-DUTY","receiving_state_gives_full_faith_and_credit == TRUE","Each receiving State gives full faith and credit to covered materials of every other State.","A receiving State denies the source-defined interstate credit.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0017","US-CM-000188","F3","PROOF-RULE-ACTOR","proof_manner_prescribing_actor == CONGRESS","Congress prescribes the manner of proof.","The proof-rule authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0018","US-CM-000188","F3","GENERAL-LAW-INSTRUMENT","proof_manner_prescribed_by_general_law == TRUE","The proof manner is prescribed by general law.","The source proof authority is exercised outside the stated general-law instrument.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0019","US-CM-000188","F3","PROOF-RULE-MATERIAL-SCOPE","proof_rule_material_type in {STATE_PUBLIC_ACT,STATE_RECORD,STATE_JUDICIAL_PROCEEDING}","The proof rule concerns covered State acts, records, or judicial proceedings.","The proof rule exceeds the source-defined material scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0020","US-CM-000189","F3","EFFECT-RULE-ACTOR","interstate_material_effect_prescribing_actor == CONGRESS","Congress prescribes the effect of covered interstate materials.","The effect-rule authority is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0021","US-CM-000189","F3","EFFECT-RULE-SCOPE","effect_rule_material_type in {STATE_PUBLIC_ACT,STATE_RECORD,STATE_JUDICIAL_PROCEEDING}","The effect rule concerns the materials covered by the Full Faith and Credit mechanism.","The effect authority is extended outside the covered materials.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W06-0022","US-CM-000190","F6","STATE-CITIZEN-ENTITLEMENT-HOLDER","entitlement_holder == CITIZEN_OF_A_STATE","The entitlement holder is a citizen of a State.","The mechanism is attributed outside the source-defined holder class.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
