"mechanism_id","source_clause_id","source_global_ordinal","source_text_sha256","mechanism_family","normalized_mechanism","negative_condition","jurisdiction_scope","source_text_mutation","doctrine_used","amendments_reconciled","orynth_concepts_used","predicate_created","normalization_status"
"US-CM-000181","US-CONST-ATOM-000181","181","24E24C5B225E5B663AF17C4CDA5FEDD2AB475EFDB0F89EA65CD4C053756E0388","F6","When a covered crime is not committed within any State, Congress may by law direct the place or places of trial.","Trial venue outside a State under this clause is not established independently of the congressionally directed venue mechanism.","UNITED-STATES/FEDERAL/CRIMINAL-TRIAL/OUTSIDE-STATE-VENUE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000182","US-CONST-ATOM-000182","182","31AA5D45B36D9E29A4D70BDA4D1834C9C7C098BDA8211447FC77178AE0953372","F3","Treason against the United States is constitutionally limited to levying war against them or adhering to their enemies by giving aid and comfort.","Conduct outside the constitutionally stated treason categories is not established as treason by this clause.","UNITED-STATES/TREASON/DEFINITION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000183","US-CONST-ATOM-000183","183","51D5E22AE58929E49B9FBB48861E702E6B744A62057402AD93982184248C25B8","F3","A treason conviction requires either testimony of two witnesses to the same overt act or confession in open court.","A treason conviction is not established under this source without one of the expressly stated evidentiary paths.","UNITED-STATES/TREASON/CONVICTION-EVIDENCE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000184","US-CONST-ATOM-000184","184","C2A239DB95A58E4E038FE7040B89F4C3A3B7D94F97D24D07242194F3EBD4B728","F3","Congress is granted power to declare the punishment of treason.","The punishment authority established by this clause is bounded to treason.","UNITED-STATES/CONGRESS/TREASON-PUNISHMENT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000185","US-CONST-ATOM-000185","185","CD6321372EDDFA2946B03EA924A89339D9715ED46AEB79578B60C512843F06C1","F5","An attainder of treason may not produce corruption of blood.","Corruption of blood resulting from attainder of treason is prohibited.","UNITED-STATES/TREASON/CORRUPTION-OF-BLOOD","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000186","US-CONST-ATOM-000186","186","08046410CA9BCB590587336E88ABBE75E52545357E2D5D56D1D6DDB9218987F3","F5","Forfeiture resulting from attainder of treason may not extend beyond the life of the person attainted.","Forfeiture extending beyond the attainted person's life is prohibited by this source.","UNITED-STATES/TREASON/FORFEITURE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000187","US-CONST-ATOM-000187","187","6BE7F61702D7F478DC4F33FBA165BC98B21CA1DDB72DDAB7A4F5EFB7938F1420","F6","Each State must give full faith and credit to the public acts, records, and judicial proceedings of every other State.","Covered acts, records, and proceedings do not lose interstate constitutional applicability merely because they originate in another State.","UNITED-STATES/STATES/FULL-FAITH-CREDIT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000188","US-CONST-ATOM-000188","188","8717B97D4B959FCF4F4E52B22E55C8B62FC509ED4CE2DEBE85051C9A0450F90D","F3","Congress may by general laws prescribe the manner in which State acts, records, and judicial proceedings are proved.","The source does not establish an unbounded congressional function beyond prescribing the proof manner for the identified interstate materials.","UNITED-STATES/CONGRESS/FULL-FAITH-CREDIT/PROOF","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000189","US-CONST-ATOM-000189","189","CCB659040413A6573B397FE44AEEB35A12C6F8340244BD5D35A0652819BCD9E2","F3","Congress may prescribe the effect of the State acts, records, and judicial proceedings covered by the Full Faith and Credit mechanism.","Congressional authority established here remains bounded to prescribing the effect of the identified interstate materials.","UNITED-STATES/CONGRESS/FULL-FAITH-CREDIT/EFFECT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000190","US-CONST-ATOM-000190","190","8C5E74DF411945A38B352CE96E048A7720B1C7C261ED96460E3C48698C1523F8","F6","Citizens of each State are entitled to the privileges and immunities of citizens in the several States.","Interstate State jurisdiction does not eliminate the cross-State constitutional entitlement stated by this clause.","UNITED-STATES/STATES/PRIVILEGES-IMMUNITIES","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000191","US-CONST-ATOM-000191","191","B76A643FC2E21D1AA5A1B12921669D521A2FD2A54810FA9E63E4DF3E91DAB417","F6","A person charged with crime who flees from one State to another must, upon demand of the executive authority of the originating State, be delivered to the State having jurisdiction of the crime.","Interstate transfer under this clause is conditioned on the identified charge, flight, executive demand, and originating criminal jurisdiction.","UNITED-STATES/STATES/EXTRADITION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000192","US-CONST-ATOM-000192","192","D1329F1CE7018967BCC9B832E842284211DD46A834DE495A927CD489D1BCD0C6","F5","Under the original source text, a person held to service or labour who escaped into another State could not be discharged from that service by the law or regulation of the receiving State.","The receiving-State discharge described by this original clause was prohibited by the source text.","UNITED-STATES/STATES/SERVICE-LABOUR/ORIGINAL-TEXT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000193","US-CONST-ATOM-000193","193","6780B910920AAE4064129E6B4E2C78157B3592A0044E7BEEBA82971FA9BE540E","F6","Under the original source text, a person held to service or labour escaping into another State was to be delivered on claim of the party to whom the service or labour was due.","The delivery mechanism stated in this original clause depended on the identified interstate escape and claim conditions.","UNITED-STATES/STATES/SERVICE-LABOUR/DELIVERY/ORIGINAL-TEXT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000194","US-CONST-ATOM-000194","194","89B794119D38E8FCB7C36FC9A89E3F35829BB2B9FCDDA81C60ACD549CFDB70E0","F3","Congress may admit new States into the Union.","The source establishes new-State admission authority in Congress rather than an unidentified principal.","UNITED-STATES/CONGRESS/NEW-STATE-ADMISSION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000195","US-CONST-ATOM-000195","195","83BD3B450E746A51BD244BE9D3EACF1C0D37799F971FB8F603AE80504E4BB280","F5","A new State may not be formed or erected within the jurisdiction of another State under the prohibited condition stated in this clause.","Formation of a new State within another State's jurisdiction is constitutionally prohibited except as separately conditioned by the following consent mechanism.","UNITED-STATES/STATES/NEW-STATE-FORMATION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000196","US-CONST-ATOM-000196","196","501DD26A44D5ABC885BD6B7959567321845133F8EA6ECA4F8F7426DA630765B0","F4","Formation of a State by joining two or more States or parts of States requires consent of the legislatures of the States concerned and Congress.","The identified State-formation action is not authorized without both affected-State legislative consent and congressional consent.","UNITED-STATES/FEDERAL-STATE/NEW-STATE-CONSENT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000197","US-CONST-ATOM-000197","197","D8B6BF5A46821EFA139B8FAE1A98684DD9D9EDC774C43DE7A9F6F42A0933F95A","F3","Congress is granted power to dispose of territory or other property belonging to the United States.","The disposal authority established here is bounded to United States territory or property.","UNITED-STATES/CONGRESS/FEDERAL-PROPERTY/DISPOSITION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000198","US-CONST-ATOM-000198","198","72B34AA0BCE2442ED4EC8DDB53AC00189CBBDB79640328D490553D39D841B6B1","F3","Congress may make needful rules and regulations respecting territory or other property belonging to the United States.","The regulatory authority established here is bounded to United States territory and property.","UNITED-STATES/CONGRESS/FEDERAL-PROPERTY/REGULATION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000199","US-CONST-ATOM-000199","199","C8B4ED361FA829DB3A5EB0F691A631427A7CF5008111ACE80FEE47D24DEAB2DF","F5","The Constitution may not be construed so as to prejudice claims of the United States or any particular State.","A constitutional construction that prejudices the identified federal or State claims is prohibited by this source.","UNITED-STATES/FEDERAL-STATE/PROPERTY-CLAIMS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000200","US-CONST-ATOM-000200","200","74D68298DB1752E3803E6A7D71A9AABEB49C38F2C7DEFB6B4BA90922188908D8","F3","The United States must guarantee every State in the Union a republican form of government.","The federal guarantee duty established by this clause is not satisfied by omission of the identified guarantee.","UNITED-STATES/FEDERAL-STATE/REPUBLICAN-GOVERNMENT-GUARANTEE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000201","US-CONST-ATOM-000201","201","B9D967A29B20C3E05AE24FF7D4031B98B88E3FD3C70DCCDDB9919AA3ECF75093","F3","The United States must protect each State against invasion.","The federal protection duty established by this clause is not conditioned on a State application.","UNITED-STATES/FEDERAL-STATE/INVASION-PROTECTION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000202","US-CONST-ATOM-000202","202","568F9F6399D6F599E9475F3B441A1F29B4605758383936E960635CDEDE9A35AD","F3","The United States must protect a State against domestic violence upon application of its legislature or, when the legislature cannot be convened, its executive.","The domestic-violence protection mechanism under this clause is not triggered absent the constitutionally identified State application pathway.","UNITED-STATES/FEDERAL-STATE/DOMESTIC-VIOLENCE-PROTECTION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000203","US-CONST-ATOM-000203","203","DBC1F44FF3E9498CADC341B2407515C42245AB70A7ABB8930A4D120A72A328DD","F7","Congress may propose constitutional amendments when two thirds of both Houses deem amendment necessary.","Congressional proposal through this pathway is not authorized below the stated two-thirds threshold in both Houses.","UNITED-STATES/CONSTITUTION/AMENDMENT/CONGRESSIONAL-PROPOSAL","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000204","US-CONST-ATOM-000204","204","74F5F4B600E3894DBFA0CEB1E9D095A8B7210BE37C5E5D71C0308B14C3BC1E12","F7","Congress must call a convention for proposing amendments upon application of the legislatures of two thirds of the States.","The convention-calling duty is not triggered below the stated two-thirds-of-States application threshold.","UNITED-STATES/CONSTITUTION/AMENDMENT/CONVENTION-PROPOSAL","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000205","US-CONST-ATOM-000205","205","E23BC75F2CD05BC43F4707969B3441A67D8C115B38F4072DD0C8014AC337DD8E","F7","A proposed amendment becomes valid as part of the Constitution when ratified by legislatures of three fourths of the States or conventions in three fourths thereof.","A proposed amendment does not become constitutionally valid under this source below the stated three-fourths ratification threshold.","UNITED-STATES/CONSTITUTION/AMENDMENT/RATIFICATION","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000206","US-CONST-ATOM-000206","206","A55D4CD29FB5A83FAECA4E2ECDBE18D71A60ED5C18EDF99FBF365E183F7C51D7","F7","Congress may select which constitutionally authorized ratification mode applies to a proposed amendment.","The ratification mode is not selected by an unidentified actor under this source mechanism.","UNITED-STATES/CONSTITUTION/AMENDMENT/RATIFICATION-MODE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000207","US-CONST-ATOM-000207","207","8BA11C64F105F0B7D22A6A7ECB38F968026866D56951D5B76D8CD456C30BD0FB","F7","Before 1808, the amendment power could not affect the first and fourth clauses of Article I Section 9.","A pre-1808 amendment affecting either protected clause was prohibited by this constitutional mutation constraint.","UNITED-STATES/CONSTITUTION/AMENDMENT/PRE-1808-LIMIT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000208","US-CONST-ATOM-000208","208","31CADB5011FDC42A0308F39181D2BD96357255D0C57A352B280389003A3E6FA7","F7","No State may be deprived of equal suffrage in the Senate without that State's consent.","Constitutional mutation depriving a State of equal Senate suffrage without its consent is prohibited.","UNITED-STATES/CONSTITUTION/AMENDMENT/EQUAL-SUFFRAGE","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000209","US-CONST-ATOM-000209","209","8D7F05754D7371EAD74C5F0FF87E354BDEE0B3380218CF44159089B92A91E36F","F3","Debts and engagements entered into before adoption of the Constitution remain valid against the United States under the Constitution as under the Confederation.","Adoption of the Constitution does not by itself invalidate the identified preexisting federal debts and engagements.","UNITED-STATES/CONSTITUTION/CONTINUITY/PREEXISTING-OBLIGATIONS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000210","US-CONST-ATOM-000210","210","FAB2E510301338A5B613C1D48A38D79C8BA584403808A057480FDE702E316173","F3","The Constitution and laws of the United States made in pursuance of it participate in the constitutional supremacy rule.","A federal enactment is not brought within this source's supremacy formulation merely by being federal; the text requires laws made in pursuance of the Constitution.","UNITED-STATES/SUPREMACY/CONSTITUTION-FEDERAL-LAWS","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000211","US-CONST-ATOM-000211","211","4456479130DB3AD2F81A9143EAFBC27BF2B48BE59F6297BEA915A5EB43B0C437","F3","Treaties made under the authority of the United States participate in the supreme law of the land.","Treaty supremacy under this source depends on the stated United States authority condition.","UNITED-STATES/SUPREMACY/TREATIES","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000212","US-CONST-ATOM-000212","212","96C03E5102823BEDE44DBD3484255D5C52C82618FF12E58A2A8C3CD83960BD94","F3","Judges in every State are bound by the supreme-law rule notwithstanding contrary provisions in State constitutions or laws.","A contrary State constitution or law does not displace the binding federal supremacy rule established by this source.","UNITED-STATES/SUPREMACY/STATE-JUDGES","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000213","US-CONST-ATOM-000213","213","DFE832EFC2EAB23B67C1AD18F644A22A416D6B865E7CE190307CAEB443C7FD11","F3","Federal and State legislators and federal and State executive and judicial officers must be bound by oath or affirmation to support the Constitution.","Covered public officers are not exempted by this source from the required constitutional oath or affirmation.","UNITED-STATES/FEDERAL-STATE/OATH-SUPPORT","NONE","NO","NO","NO","NO","NORMALIZED"
"US-CM-000214","US-CONST-ATOM-000214","214","5A098E67498A50A8416802FEA5DD47097391ED03C9001156C496009C0C8531E8","F5","No religious test may ever be required as a qualification for office or public trust under the United States.","Imposition of a religious qualification for covered federal office or public trust is prohibited.","UNITED-STATES/FEDERAL/OFFICE/RELIGIOUS-TEST","NONE","NO","NO","NO","NO","NORMALIZED"
