"mechanism_id","generation_unit_id","source_construction_id","amendment_number","section_number","boundary_label","source_atom_ids","topology_action","prior_mechanism_ids","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","semantic_status","semantic_basis","topology_authority","semantic_authority","canonical_registry_status","orynth_mapping_status","correspondence_grade"
"US-CM-000216","US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","1","","PRESERVED-US-CM-000216","US-AM-ATOM-000001","PRESERVE-EXISTING-BOUNDARY","US-CM-000216","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/ESTABLISHMENT","The Constitution establishes this prohibition, right-protection, or negative constraint: Congress shall make no law respecting an establishment of religion","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000217","US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","1","","PRESERVED-US-CM-000217","US-AM-ATOM-000002","PRESERVE-EXISTING-BOUNDARY","US-CM-000217","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/FREE-EXERCISE","The Constitution establishes this prohibition, right-protection, or negative constraint: or prohibiting the free exercise thereof","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000218","US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","1","","PRESERVED-US-CM-000218","US-AM-ATOM-000003","PRESERVE-EXISTING-BOUNDARY","US-CM-000218","F5","UNITED-STATES/CONGRESS/RIGHTS/SPEECH","The Constitution establishes this prohibition, right-protection, or negative constraint: or abridging the freedom of speech","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000219","US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","1","","PRESERVED-US-CM-000219","US-AM-ATOM-000004","PRESERVE-EXISTING-BOUNDARY","US-CM-000219","F5","UNITED-STATES/CONGRESS/RIGHTS/PRESS","The Constitution establishes this prohibition, right-protection, or negative constraint: or of the press","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000220","US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","1","","PRESERVED-US-CM-000220","US-AM-ATOM-000005","PRESERVE-EXISTING-BOUNDARY","US-CM-000220","F5","UNITED-STATES/CONGRESS/RIGHTS/ASSEMBLY","The Constitution establishes this prohibition, right-protection, or negative constraint: or the right of the people peaceably to assemble","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000221","US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","1","","PRESERVED-US-CM-000221","US-AM-ATOM-000006","PRESERVE-EXISTING-BOUNDARY","US-CM-000221","F5","UNITED-STATES/CONGRESS/RIGHTS/PETITION","The Constitution establishes this prohibition, right-protection, or negative constraint: and to petition the Government for a redress of grievances.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000222","US-AM-MECH-UNIT-000002","US-AM-ATOM-CAND-000002","2","","PRESERVED-US-CM-000222","US-AM-ATOM-000007","PRESERVE-EXISTING-BOUNDARY","US-CM-000222","F5","UNITED-STATES/RIGHTS/KEEP-BEAR-ARMS","The Constitution establishes this prohibition, right-protection, or negative constraint: A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000223","US-AM-MECH-UNIT-000003","US-AM-ATOM-CAND-000003","3","","PRESERVED-US-CM-000223","US-AM-ATOM-000008","PRESERVE-EXISTING-BOUNDARY","US-CM-000223","F5","UNITED-STATES/SOLDIER-QUARTERING/PEACE","The Constitution establishes this prohibition, right-protection, or negative constraint: No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000224","US-AM-MECH-UNIT-000003","US-AM-ATOM-CAND-000003","3","","PRESERVED-US-CM-000224","US-AM-ATOM-000009","PRESERVE-EXISTING-BOUNDARY","US-CM-000224","F5","UNITED-STATES/SOLDIER-QUARTERING/WAR","The Constitution establishes this prohibition, right-protection, or negative constraint: nor in time of war, but in a manner to be prescribed by law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
"US-CM-000225","US-AM-MECH-UNIT-000004","US-AM-ATOM-CAND-000004","4","","PRESERVED-US-CM-000225","US-AM-ATOM-000010","PRESERVE-EXISTING-BOUNDARY","US-CM-000225","F5","UNITED-STATES/SEARCH-SEIZURE/UNREASONABLE","The Constitution establishes this prohibition, right-protection, or negative constraint: The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","FINAL-PRESERVED-EXACT","Preserved exact from 08D-04B2B2 under unchanged construction boundary.","08D-06V-CONSTRUCTION-LEVEL-COUNT","08D-04B2B2","NOT-YET-MATERIALIZED","UNASSESSED","UNASSESSED"
