"mechanism_id","source_clause_id","source_global_ordinal","source_text_sha256","mechanism_family","normalized_mechanism","negative_condition","jurisdiction_scope","source_text_mutation","doctrine_used","orynth_concepts_used","predicate_created","normalization_status"
"US-CM-000073","US-CONST-ATOM-000073","73","4469FE85CA84A2C9E56A6213B9D115774230488EB79977E7D1F2B297D5F86E9A","F3","Congress is granted power to constitute tribunals inferior to the Supreme Court.","The authority established by this clause is bounded to constitution of tribunals inferior to the Supreme Court.","UNITED-STATES/CONGRESS/INFERIOR-TRIBUNALS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000074","US-CONST-ATOM-000074","74","B62110F8D3B6553BF8D8C4BF849E7F5C2A593E69D0A5ADB1C5B39609DC07B335","F3","Congress is granted power to define and punish piracies and felonies committed on the high seas and offenses against the law of nations.","The authority established here is bounded to the identified offense classes and subject domains.","UNITED-STATES/CONGRESS/HIGH-SEAS-LAW-OF-NATIONS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000075","US-CONST-ATOM-000075","75","4B9EED05C5D479437E8ADCDF74223233CCC244D4ED1EB169E71971D2392F3AA1","F3","Congress is granted power to declare war.","The war-declaration authority established by this source is vested only within the identified congressional power.","UNITED-STATES/CONGRESS/WAR-DECLARATION","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000076","US-CONST-ATOM-000076","76","A74D1A6FD553026A71B83B66089DE3A0385A767FEABCC2F85A61AEDA4AF144AB","F3","Congress is granted power to issue Letters of Marque and Reprisal.","The authority established here is bounded to the identified congressional grant.","UNITED-STATES/CONGRESS/MARQUE-REPRISAL","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000077","US-CONST-ATOM-000077","77","4EDFEAE135F1FB262517AA4A610F89367031DBA2906FF18EA8754024B2D2B069","F3","Congress is granted power to make rules concerning captures on land and water.","The authority established here is bounded to rules concerning the identified capture domain.","UNITED-STATES/CONGRESS/CAPTURES","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000078","US-CONST-ATOM-000078","78","AD2C085A1C2FBD600B07EB91DB129F5329F062C52DBBD1C948C1489451283847","F3","Congress is granted power to raise and support armies.","The authority established here does not itself remove the separate temporal appropriation constraint governing army funding.","UNITED-STATES/CONGRESS/ARMIES","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000079","US-CONST-ATOM-000079","79","1495F095CC6D12D47C8FD8214D1629DB95556918A4E758C732DAC2EE529DC011","F5","An appropriation of money for support of armies may not extend for longer than two years.","Army-support appropriations exceeding the two-year constitutional limit are prohibited.","UNITED-STATES/CONGRESS/ARMY-APPROPRIATIONS","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000080","US-CONST-ATOM-000080","80","6DFF9804AC5228A13EC32685DAD9C9AB851D657D5AE2D22E739F87714E23D64B","F3","Congress is granted power to provide and maintain a Navy.","The authority established here is bounded to the identified naval function.","UNITED-STATES/CONGRESS/NAVY","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000081","US-CONST-ATOM-000081","81","8F050A2123923B89B20064FA7E7CB3ABE0BFDCFBC2DBF3E40F08590A8F016A58","F3","Congress is granted power to make rules for the government and regulation of the land and naval forces.","The regulatory authority established here is bounded to the land and naval forces.","UNITED-STATES/CONGRESS/ARMED-FORCES-REGULATION","NONE","NO","NO","NO","NORMALIZED"
"US-CM-000082","US-CONST-ATOM-000082","82","587BE64972F1C12A44217690F27A84BA0247698D0DB3BACF60CFFA0C9CCDE7CB","F3","Congress is granted power to provide for calling forth the Militia to execute federal laws, suppress insurrections, and repel invasions.","Calling-forth authority under this clause is bounded to the three stated purposes.","UNITED-STATES/CONGRESS/MILITIA/CALLING-FORTH","NONE","NO","NO","NO","NORMALIZED"
