"mechanism_id","orynth_candidate_mechanism","evidence_paths","correspondence_grade","rationale"
"US-CM-000181","JURISDICTION-BOUND VENUE / LEGISLATIVE-DIRECTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","ORYNTH preexists with operation-scoped jurisdiction resolution, source lineage and legislative authority separation, corresponding architecturally to congressionally directed outside-State venue; the exact criminal-venue operation and directed-place set are not independently registered."
"US-CM-000182","SCOPED-CONSTITUTIONAL-OFFENSE / NEGATIVE-SCOPE CONCEPT","00-governance/CANONICAL_AUTHORITY_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","C1","ORYNTH conceptually requires authority and predicates to remain within source-defined scope, but no independent treason offense classifier implements the two constitutionally stated conduct classes."
"US-CM-000183","EVIDENTIARY-PATH / THRESHOLD CONCEPT","00-governance/CANONICAL_AUTHORITY_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","C1","ORYNTH independently types evidentiary conditions and predicate sufficiency, but no treason-specific two-witness same-overt-act or open-court-confession rule is formalized."
"US-CM-000184","ENUMERATED LEGISLATIVE POWER / OFFENSE-SCOPED AUTHORITY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Preexisting architecture separately represents legislative power and authority scope, corresponding architecturally to Congress's treason-punishment authority; the exact punishment operation is not registered."
"US-CM-000185","PROHIBITION / CONSEQUENTIAL-EFFECT CONCEPT","00-governance/CANONICAL_AUTHORITY_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","C1","ORYNTH conceptually separates capability from prohibited consequence, but no independent corruption-of-blood consequence state or treason-attainder prohibition is implemented."
"US-CM-000186","TEMPORALLY-BOUNDED CONSEQUENTIAL-EFFECT CONCEPT","00-governance/CANONICAL_AUTHORITY_POLICY.md;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/temporal_authority.py","C1","Temporal validity is a preexisting ORYNTH concept, but the resolver governs authority validity rather than the lifetime boundary of treason forfeiture; exact clause correspondence is therefore conceptual."
"US-CM-000187","INTERSTATE RELATION / JURISDICTION-DUTY ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Article IV federal relations are explicitly represented through relation, duty and jurisdiction classes, corresponding architecturally to interstate full-faith-and-credit obligations; exact covered-material effect rules are not independently implemented."
"US-CM-000188","LEGISLATIVE EVIDENTIARY-RULE / FEDERAL-RELATIONS ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","ORYNTH separately models legislative authority, evidentiary typing and Article IV federal relations, corresponding architecturally to congressional proof-rule authority; the exact general-law proof mechanism is absent."
"US-CM-000189","LEGISLATIVE EFFECT-RULE / FEDERAL-RELATIONS ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Source-bounded legislative authority and Article IV relation architecture correspond to prescribing the effect of interstate materials; no exact public-act, record or judicial-proceeding effect registry exists."
"US-CM-000190","INTERSTATE ENTITLEMENT / JURISDICTION ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","Federal-relations and jurisdiction architecture can represent cross-State applicability and protected interstate relations; the Article IV privileges-and-immunities entitlement itself is not separately formalized."
"US-CM-000191","INTERSTATE JURISDICTION / AUTHORIZED-ACTOR TRANSFER ARCHITECTURE","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;00-governance/CANONICAL_AUTHORITY_POLICY.md","C2","ORYNTH explicitly separates actor authority, jurisdiction and consequential effect, corresponding architecturally to an executive-demand interstate delivery path; the extradition charge, flight and delivery predicates are not registered."
