"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000037","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000038","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000039","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000040","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000041","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000042","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000043","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000044","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","The baseline contains generic constitutional object and source-anchor infrastructure, but no admitted preexisting ORYNTH mechanism demonstrates this specific Article I Section 5 or Section 6 rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000045","YES","C2","TEMPORAL-AUTHORITY / CONSTITUTIONAL-PROHIBITION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Preexisting ORYNTH architecture formally represents time-bounded authority together with constitutional prohibitions and limitations. The exact congressional civil-office disqualification condition is not instantiated, so correspondence remains architectural.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000046","YES","C1","INCOMPATIBLE-AUTHORITY-STATE CONCEPT","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/AUTHORITY.yaml","NONE-EXACT","NOT-GAP","ORYNTH conceptually represents constitutionally sourced authority and prohibitions, but the exact simultaneous federal-office and congressional-membership incompatibility is not implemented.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000047","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates House-exclusive origination authority for revenue bills.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000048","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE-EXACT","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates the Senate's specifically bounded amendment participation in House-originated revenue bills.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000049","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000050","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000051","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL-PROCESS CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROCESS.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 7 is a valid preexisting source anchor and ORYNTH has typed constitutional process and authority-lineage machinery, but this exact presentment/veto/reconsideration submechanism is not formally instantiated.","NOT-PERFORMED","NOT-PERFORMED"
