"candidate_clause_id","parent_source_unit_id","article","section","candidate_ordinal","normalized_text_sha256","decision","merge_target","split_specification","atomicity_finding","decision_basis","anchor_validation_view","source_text_changed","constitutional_role","doctrine_used","orynth_concepts_used","adjudication_status"
"US-CONST-ART02-SEC03-CL000-AT001","US-CONST-ART02-SEC03-CL000","2","3","1","6BED55EFAFF3EC4100CE2E0179D62D4D8CFF2E317BC6A0468D46849A7F1FD607","FURTHER-SPLIT","","SPLIT-BEFORE=""and recommend to their Consideration such Measures""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The State of the Union information duty and the recommendation duty are separately stated presidential obligations.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART02-SEC03-CL000-AT002","US-CONST-ART02-SEC03-CL000","2","3","2","5DBC7F9628A4D7CA75E47DE139C2936A2FABD996C533E8576126896B738AAE7D","FURTHER-SPLIT","","SPLIT-BEFORE=""and in Case of Disagreement between them""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The extraordinary-occasion power to convene either or both Houses is distinct from the conditional power to set an adjournment time when the Houses disagree.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART02-SEC03-CL000-AT003","US-CONST-ART02-SEC03-CL000","2","3","3","D177A495FDB8D1ACC1A9135681D8F48F799E0D55E042C106AB91326F11B20266","RETAIN","","","ADJUDICATED-ATOMIC","The candidate states the presidential duty to receive Ambassadors and other public Ministers.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART02-SEC03-CL000-AT004","US-CONST-ART02-SEC03-CL000","2","3","4","7A71B30CD0C2BB3D926085A48B725AF12CBF3F15E8553819723A54659368E454","FURTHER-SPLIT","","SPLIT-BEFORE=""and shall Commission all the Officers of the United States""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The Take Care duty and the duty to commission United States officers are independently stated obligations.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART02-SEC04-CL000-AT001","US-CONST-ART02-SEC04-CL000","2","4","1","67484423C885E6AF789EF82552F00270A69403737692C6B732365B55E82C3E34","RETAIN","","","ADJUDICATED-ATOMIC","The candidate states one integrated impeachment-and-conviction removal rule for the listed federal officers and offenses.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART03-SEC01-CL000-AT001","US-CONST-ART03-SEC01-CL000","3","1","1","833C9329200290E34B362F0056247712500B9160685F7A14C33ADDDDCFAB933F","FURTHER-SPLIT","","SPLIT-BEFORE=""and in such inferior Courts as the Congress may from time to time ordain and establish""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Vesting judicial power in one supreme Court is textually distinguishable from vesting judicial power in inferior Courts created by Congress.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART03-SEC01-CL000-AT002","US-CONST-ART03-SEC01-CL000","3","1","2","BE8D889755B2D05933FCD1B67AFA0203063ABD802FF0E85BD1ADDB4589F39F54","FURTHER-SPLIT","","SPLIT-BEFORE=""and shall at stated Times, receive for their Services, a Compensation""; SPLIT-BEFORE=""which shall not be diminished during their Continuance in Office""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Good-behavior tenure, compensation entitlement, and the compensation non-diminution rule are separately testable judicial protections.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART03-SEC02-CL000-AT001","US-CONST-ART03-SEC02-CL000","3","2","1","30C4E89D815D92EB54D3E4F634ACB6458D231035ACBA642C9C954ECABCEB71B3","RETAIN","","","ADJUDICATED-ATOMIC","The candidate states the federal-question jurisdiction category arising under the Constitution, federal laws, and treaties.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART03-SEC02-CL000-AT002","US-CONST-ART03-SEC02-CL000","3","2","2","A109A1F5D45CB61D3451D8E79CD8AB908012B3EFFA23CA3A7C2D2227CB49CE5C","RETAIN","","","ADJUDICATED-ATOMIC","The candidate states judicial power over cases affecting Ambassadors, other public Ministers, and Consuls.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART03-SEC02-CL000-AT003","US-CONST-ART03-SEC02-CL000","3","2","3","5D18BC0D6586AE9F7B61BBB9C8F375C0F77A12F120E2179427559897A44ADBA7","RETAIN","","","ADJUDICATED-ATOMIC","The candidate states judicial power over admiralty and maritime cases.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
