"crosswalk_id","mechanism_id","orynth_repository","orynth_component","file_path","invariant_id","proof_id","test_id","baseline_commit","preexisting_status","correspondence_grade","review_status"
"US-CW-000001","US-CM-000001","ORYNTH-systems/orynth-constitutional-state-integrity","CONSTITUTIONAL-AUTHORITY-LINEAGE / OPERATION-SCOPED-AUTHORITY","00-governance/CANONICAL_AUTHORITY_POLICY.md","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C3","WAVE-01-ADJUDICATED"
"US-CW-000002","US-CM-000002","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000003","US-CM-000003","ORYNTH-systems/orynth-constitutional-state-integrity","ELECTION-SOURCE-DEPENDENCY / TEMPORAL-AUTHORITY-CONCEPT","03-constitutional-dependency-graph/executable/EXECUTABLE_DEPENDENCY_GRAPH.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000004","US-CM-000004","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-S2 VOTER-QUALIFICATION DEPENDENCY","02-constitutional-object-model/registry/QUALIFICATION.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C3","WAVE-01-ADJUDICATED"
"US-CW-000005","US-CM-000005","ORYNTH-systems/orynth-constitutional-state-integrity","TYPED-CONSTITUTIONAL-QUALIFICATION","02-constitutional-object-model/registry/QUALIFICATION.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000006","US-CM-000006","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000007","US-CM-000007","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY / SOURCE-SCOPED-PROCEDURE","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000008","US-CM-000008","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000009","US-CM-000009","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000010","US-CM-000010","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","","","","3a292dbf660893b07da93749bfe80a8de4bba835","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000011","US-CM-000011","ORYNTH-systems/orynth-constitutional-state-integrity","CONDITIONAL-ACTOR-AUTHORITY","00-governance/CANONICAL_AUTHORITY_POLICY.md","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C1","WAVE-01-ADJUDICATED"
"US-CW-000012","US-CM-000012","ORYNTH-systems/orynth-constitutional-state-integrity","ACTOR-OPERATION AUTHORITY SCOPE","02-constitutional-object-model/registry/AUTHORITY.yaml","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
"US-CW-000013","US-CM-000013","ORYNTH-systems/orynth-constitutional-state-integrity","EXCLUSIVE ACTOR / AUTHORITY-COLLISION CONTROL","07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json","","","","3a292dbf660893b07da93749bfe80a8de4bba835","YES","C2","WAVE-01-ADJUDICATED"
