"crosswalk_id","mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","predicate_count","predicate_ids","predicate_classes","candidate_orynth_repository","candidate_orynth_component","candidate_file_path","candidate_invariant_id","candidate_proof_id","candidate_test_id","candidate_baseline_commit","preexisting_status","correspondence_grade","correspondence_rationale","evidence_basis","review_status"
"US-CW-000216","US-CM-000216","US-AM-ATOM-000001","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/ESTABLISHMENT","The Constitution establishes this prohibition, right-protection, or negative constraint: Congress shall make no law respecting an establishment of religion","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000421","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000217","US-CM-000217","US-AM-ATOM-000002","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/FREE-EXERCISE","The Constitution establishes this prohibition, right-protection, or negative constraint: or prohibiting the free exercise thereof","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000422","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000218","US-CM-000218","US-AM-ATOM-000003","F5","UNITED-STATES/CONGRESS/RIGHTS/SPEECH","The Constitution establishes this prohibition, right-protection, or negative constraint: or abridging the freedom of speech","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000423","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000219","US-CM-000219","US-AM-ATOM-000004","F5","UNITED-STATES/CONGRESS/RIGHTS/PRESS","The Constitution establishes this prohibition, right-protection, or negative constraint: or of the press","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000424","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000220","US-CM-000220","US-AM-ATOM-000005","F5","UNITED-STATES/CONGRESS/RIGHTS/ASSEMBLY","The Constitution establishes this prohibition, right-protection, or negative constraint: or the right of the people peaceably to assemble","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000425","RIGHT-PROTECTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000221","US-CM-000221","US-AM-ATOM-000006","F5","UNITED-STATES/CONGRESS/RIGHTS/PETITION","The Constitution establishes this prohibition, right-protection, or negative constraint: and to petition the Government for a redress of grievances.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000426","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000222","US-CM-000222","US-AM-ATOM-000007","F5","UNITED-STATES/RIGHTS/KEEP-BEAR-ARMS","The Constitution establishes this prohibition, right-protection, or negative constraint: A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000427","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000223","US-CM-000223","US-AM-ATOM-000008","F5","UNITED-STATES/SOLDIER-QUARTERING/PEACE","The Constitution establishes this prohibition, right-protection, or negative constraint: No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000428|US-CP-000429|US-CP-000430","TEMPORAL-CONDITION|PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000224","US-CM-000224","US-AM-ATOM-000009","F5","UNITED-STATES/SOLDIER-QUARTERING/WAR","The Constitution establishes this prohibition, right-protection, or negative constraint: nor in time of war, but in a manner to be prescribed by law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000431|US-CP-000432","TEMPORAL-CONDITION|PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000225","US-CM-000225","US-AM-ATOM-000010","F5","UNITED-STATES/SEARCH-SEIZURE/UNREASONABLE","The Constitution establishes this prohibition, right-protection, or negative constraint: The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000433","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000226","US-CM-000226","US-AM-ATOM-000011","F5","UNITED-STATES/WARRANTS/ISSUANCE-CONDITIONS","The Constitution establishes this prohibition, right-protection, or negative constraint: and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","4","US-CP-000434|US-CP-000435|US-CP-000436|US-CP-000437","PROHIBITION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
"US-CW-000227","US-CM-000227","US-AM-ATOM-000012","F5","UNITED-STATES/CRIMINAL/GRAND-JURY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000438|US-CP-000439|US-CP-000440","PROHIBITION|EXCEPTION","","","","","","","","UNASSESSED","UNASSESSED","","","REVIEW-REQUIRED"
