"predicate_id","mechanism_id","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","status"
"US-CP-000421","US-CM-000216","PROHIBITION","cm_000216_congress_shall_make_no_law_respecting_an_establishment_of_religion == TRUE","Source-defined condition is satisfied: Congress shall make no law respecting an establishment of religion.","Source-defined condition is not satisfied: Congress shall make no law respecting an establishment of religion.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000422","US-CM-000217","PROHIBITION","cm_000217_or_prohibiting_the_free_exercise_thereof == TRUE","Source-defined condition is satisfied: or prohibiting the free exercise thereof.","Source-defined condition is not satisfied: or prohibiting the free exercise thereof.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000423","US-CM-000218","PROHIBITION","cm_000218_or_abridging_the_freedom_of_speech == TRUE","Source-defined condition is satisfied: or abridging the freedom of speech.","Source-defined condition is not satisfied: or abridging the freedom of speech.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000424","US-CM-000219","PROHIBITION","cm_000219_or_of_the_press == TRUE","Source-defined condition is satisfied: or of the press.","Source-defined condition is not satisfied: or of the press.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000425","US-CM-000220","RIGHT-PROTECTION","cm_000220_or_the_right_of_the_people_peaceably_to_assemble == TRUE","Source-defined condition is satisfied: or the right of the people peaceably to assemble.","Source-defined condition is not satisfied: or the right of the people peaceably to assemble.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000426","US-CM-000221","PROHIBITION","cm_000221_and_to_petition_the_government_for_a_redress_of_grievances == TRUE","Source-defined condition is satisfied: and to petition the Government for a redress of grievances.","Source-defined condition is not satisfied: and to petition the Government for a redress of grievances.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000427","US-CM-000222","PROHIBITION","cm_000222_a_well_regulated_militia_being_necessary_to_the_security_of_a_free_sta == TRUE","Source-defined condition is satisfied: A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","Source-defined condition is not satisfied: A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000428","US-CM-000223","TEMPORAL-CONDITION","cm_000223_peace_time_trigger == TRUE","Source-defined condition is satisfied: peace-time trigger.","Source-defined condition is not satisfied: peace-time trigger.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000429","US-CM-000223","PROHIBITION","cm_000223_quartering_in_house_condition == TRUE","Source-defined condition is satisfied: quartering-in-house condition.","Source-defined condition is not satisfied: quartering-in-house condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000430","US-CM-000223","PROHIBITION","cm_000223_owner_consent_condition == TRUE","Source-defined condition is satisfied: owner-consent condition.","Source-defined condition is not satisfied: owner-consent condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000431","US-CM-000224","TEMPORAL-CONDITION","cm_000224_war_time_trigger == TRUE","Source-defined condition is satisfied: war-time trigger.","Source-defined condition is not satisfied: war-time trigger.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000432","US-CM-000224","PROHIBITION","cm_000224_quartering_only_in_a_manner_prescribed_by_law == TRUE","Source-defined condition is satisfied: quartering only in a manner prescribed by law.","Source-defined condition is not satisfied: quartering only in a manner prescribed by law.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000433","US-CM-000225","PROHIBITION","cm_000225_the_right_of_the_people_to_be_secure_in_their_persons_houses_papers_an == TRUE","Source-defined condition is satisfied: The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated.","Source-defined condition is not satisfied: The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000434","US-CM-000226","PROHIBITION","cm_000226_probable_cause_condition == TRUE","Source-defined condition is satisfied: probable-cause condition.","Source-defined condition is not satisfied: probable-cause condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000435","US-CM-000226","PROHIBITION","cm_000226_oath_or_affirmation_support == TRUE","Source-defined condition is satisfied: oath-or-affirmation support.","Source-defined condition is not satisfied: oath-or-affirmation support.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000436","US-CM-000226","PROHIBITION","cm_000226_particular_place_description == TRUE","Source-defined condition is satisfied: particular place description.","Source-defined condition is not satisfied: particular place description.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000437","US-CM-000226","PROHIBITION","cm_000226_particular_persons_or_things_description == TRUE","Source-defined condition is satisfied: particular persons-or-things description.","Source-defined condition is not satisfied: particular persons-or-things description.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000438","US-CM-000227","PROHIBITION","cm_000227_covered_capital_or_infamous_charge == TRUE","Source-defined condition is satisfied: covered capital-or-infamous charge.","Source-defined condition is not satisfied: covered capital-or-infamous charge.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000439","US-CM-000227","PROHIBITION","cm_000227_grand_jury_presentment_or_indictment_requirement == TRUE","Source-defined condition is satisfied: grand-jury presentment-or-indictment requirement.","Source-defined condition is not satisfied: grand-jury presentment-or-indictment requirement.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000440","US-CM-000227","EXCEPTION","cm_000227_source_stated_military_service_exception == TRUE","Source-defined condition is satisfied: source-stated military-service exception.","Source-defined condition is not satisfied: source-stated military-service exception.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000441","US-CM-000228","PROHIBITION","cm_000228_same_offence_identity_condition == TRUE","Source-defined condition is satisfied: same-offence identity condition.","Source-defined condition is not satisfied: same-offence identity condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000442","US-CM-000228","PROHIBITION","cm_000228_second_jeopardy_prohibition == TRUE","Source-defined condition is satisfied: second-jeopardy prohibition.","Source-defined condition is not satisfied: second-jeopardy prohibition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000443","US-CM-000229","PROHIBITION","cm_000229_criminal_case_scope == TRUE","Source-defined condition is satisfied: criminal-case scope.","Source-defined condition is not satisfied: criminal-case scope.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000444","US-CM-000229","PROHIBITION","cm_000229_compelled_self_witness_prohibition == TRUE","Source-defined condition is satisfied: compelled self-witness prohibition.","Source-defined condition is not satisfied: compelled self-witness prohibition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000445","US-CM-000230","PROHIBITION","cm_000230_deprivation_of_life_liberty_property == TRUE","Source-defined condition is satisfied: deprivation of life/liberty/property.","Source-defined condition is not satisfied: deprivation of life/liberty/property.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000446","US-CM-000230","PROHIBITION","cm_000230_due_process_prerequisite == TRUE","Source-defined condition is satisfied: due-process prerequisite.","Source-defined condition is not satisfied: due-process prerequisite.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000447","US-CM-000231","PROHIBITION","cm_000231_public_use_taking_condition == TRUE","Source-defined condition is satisfied: public-use taking condition.","Source-defined condition is not satisfied: public-use taking condition.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000448","US-CM-000231","PROHIBITION","cm_000231_just_compensation_prerequisite == TRUE","Source-defined condition is satisfied: just-compensation prerequisite.","Source-defined condition is not satisfied: just-compensation prerequisite.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
"US-CP-000449","US-CM-000232","SCOPED-CONDITION","cm_000232_criminal_prosecution_scope == TRUE","Source-defined condition is satisfied: criminal-prosecution scope.","Source-defined condition is not satisfied: criminal-prosecution scope.","REQUIRE-SATISFIED","ADJUDICATED-PRE-MATERIALIZATION"
