"generation_unit_id","source_construction_id","unit_type","amendment_number","section_number","atom_count","adjudicated_mechanisms","count_rule","context_rule","adjudication_status","reviewer_note"
"US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","UNIT-CONSTRUCTION","1","","6","6","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000002","US-AM-ATOM-CAND-000002","UNIT-ATOM","2","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000003","US-AM-ATOM-CAND-000003","UNIT-CONSTRUCTION","3","","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000004","US-AM-ATOM-CAND-000004","UNIT-CONSTRUCTION","4","","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","UNIT-CONSTRUCTION","5","","5","5","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","UNIT-CONSTRUCTION","6","","6","6","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000007","US-AM-ATOM-CAND-000007","UNIT-CONSTRUCTION","7","","2","2","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000008","US-AM-ATOM-CAND-000008","UNIT-CONSTRUCTION","8","","3","3","ONE-MECHANISM-PER-FROZEN-ATOM","PARENT-CONSTRUCTION-REQUIRED-FOR-NORMALIZATION","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000009","US-AM-ATOM-CAND-000009","UNIT-ATOM","9","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
"US-AM-MECH-UNIT-000010","US-AM-ATOM-CAND-000010","UNIT-ATOM","10","","1","1","ONE-MECHANISM-PER-FROZEN-ATOM","ATOM-SOURCE-SUFFICIENT-FOR-NORMALIZATION-REVIEW","ADJUDICATED","Mechanism identity follows frozen atomic proposition identity; inherited parent context remains mandatory where context_required=TRUE."
