"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000109","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000110","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000111","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000112","YES","C1","SOURCE-ANCHORED AUTHORITY / QUALIFICATION CONCEPT","02-constitutional-object-model/registry/AUTHORITY.yaml;02-constitutional-object-model/registry/QUALIFICATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000113","YES","C2","ARCHITECTURAL AUTHORITY / ELECTION / TEMPORAL CONTROL","07-constitutional-state-integrity/elections/federal/FEDERAL_ELECTION_CONSTITUTIONAL_GRAPH.yaml;09-uaa-bridge/elections/actors/UAA_ELECTION_ACTOR_TAXONOMY.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline structurally represents the relevant authority class, election role, contingent-election boundary, temporal office boundary, succession boundary, or federal-state separation, but does not formally instantiate every source-defined condition of this constitutional mechanism.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000114","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000115","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000116","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000117","YES","C1","SOURCE-ANCHORED CONSTITUTIONAL PROHIBITION / LIMITATION","02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline represents the relevant constitutional object and authority concept, but the exact substantive rule, trigger, threshold, exception, procedure, destination, compensation rule, or prohibition is not independently formalized.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000118","YES","C2","ARCHITECTURAL AUTHORITY / ELECTION / TEMPORAL CONTROL","07-constitutional-state-integrity/elections/federal/FEDERAL_ELECTION_CONSTITUTIONAL_GRAPH.yaml;09-uaa-bridge/elections/actors/UAA_ELECTION_ACTOR_TAXONOMY.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline structurally represents the relevant authority class, election role, contingent-election boundary, temporal office boundary, succession boundary, or federal-state separation, but does not formally instantiate every source-defined condition of this constitutional mechanism.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000119","YES","C2","ARCHITECTURAL AUTHORITY / ELECTION / TEMPORAL CONTROL","07-constitutional-state-integrity/elections/federal/FEDERAL_ELECTION_CONSTITUTIONAL_GRAPH.yaml;09-uaa-bridge/elections/actors/UAA_ELECTION_ACTOR_TAXONOMY.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","NONE-EXACT","NOT-GAP","The PRE-CROSSWALK baseline structurally represents the relevant authority class, election role, contingent-election boundary, temporal office boundary, succession boundary, or federal-state separation, but does not formally instantiate every source-defined condition of this constitutional mechanism.","NOT-PERFORMED","NOT-PERFORMED"
