"candidate_clause_id","parent_source_unit_id","article","section","candidate_ordinal","normalized_text_sha256","decision","split_specification","atomicity_finding","decision_basis","anchor_validation_view","source_text_changed","constitutional_role","doctrine_used","orynth_concepts_used","adjudication_status"
"US-CONST-ART04-SEC04-CL000-AT001","US-CONST-ART04-SEC04-CL000","4","4","1","2532C61024EA8570994C831BEB137E051B010BB0CBC395CA1E41E795FDDD567E","FURTHER-SPLIT","SPLIT-BEFORE=""and shall protect each of them against Invasion""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The guarantee of a Republican Form of Government and the protection of each State against Invasion are separately stated federal obligations.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART04-SEC04-CL000-AT002","US-CONST-ART04-SEC04-CL000","4","4","2","568F9F6399D6F599E9475F3B441A1F29B4605758383936E960635CDEDE9A35AD","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one application-conditioned federal protection rule against domestic Violence, including the alternative executive application condition when the legislature cannot be convened.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART05-SEC00-CL000-AT001","US-CONST-ART05-SEC00-CL000","5","0","1","581FA9965C998E4A7ABC82567F39AE0F3AB0F95FF242CB61B59429386CEA1CEC","FURTHER-SPLIT","SPLIT-BEFORE=""or, on the Application of the Legislatures of two thirds of the several States""; SPLIT-BEFORE=""which in either Case, shall be valid to all Intents and Purposes, as Part of this Constitution""; SPLIT-BEFORE=""as the one or the other Mode of Ratification may be proposed by the Congress""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The two-thirds congressional proposal route, the two-thirds state-legislature convention-call route, the three-fourths ratification requirement, and Congress's selection of ratification mode are separately stated amendment-process propositions.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART05-SEC00-CL000-AT002","US-CONST-ART05-SEC00-CL000","5","0","2","8BA11C64F105F0B7D22A6A7ECB38F968026866D56951D5B76D8CD456C30BD0FB","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the temporary pre-1808 limitation on amendments affecting the specified Article I Section 9 clauses.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART05-SEC00-CL000-AT003","US-CONST-ART05-SEC00-CL000","5","0","3","31CADB5011FDC42A0308F39181D2BD96357255D0C57A352B280389003A3E6FA7","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the continuing protection against deprivation of a State's equal suffrage in the Senate without that State's consent.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART06-SEC00-CL000-AT001","US-CONST-ART06-SEC00-CL000","6","0","1","FADE939F1D654C6920910C2CA1FD020D0FE364C1D2B9BE6E60D340875225D862","FURTHER-SPLIT","SPLIT-BEFORE=""This Constitution, and the Laws of the United States which shall be made in Pursuance thereof""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The continuity and validity of pre-Constitution debts and engagements is distinct from the supremacy status of the Constitution and federal laws made in pursuance thereof.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART06-SEC00-CL000-AT002","US-CONST-ART06-SEC00-CL000","6","0","2","4456479130DB3AD2F81A9143EAFBC27BF2B48BE59F6297BEA915A5EB43B0C437","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the supremacy status of treaties made under the authority of the United States.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART06-SEC00-CL000-AT003","US-CONST-ART06-SEC00-CL000","6","0","3","96C03E5102823BEDE44DBD3484255D5C52C82618FF12E58A2A8C3CD83960BD94","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one integrated state-judge binding rule, including priority over contrary state constitutional or statutory law.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART06-SEC00-CL000-AT004","US-CONST-ART06-SEC00-CL000","6","0","4","DFE832EFC2EAB23B67C1AD18F644A22A416D6B865E7CE190307CAEB443C7FD11","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the oath-or-affirmation obligation binding the identified federal and state officers to support the Constitution.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART06-SEC00-CL000-AT005","US-CONST-ART06-SEC00-CL000","6","0","5","5A098E67498A50A8416802FEA5DD47097391ED03C9001156C496009C0C8531E8","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the prohibition on a religious Test as a qualification for federal office or public trust.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART07-SEC00-CL000-AT001","US-CONST-ART07-SEC00-CL000","7","0","1","769B90CB26A1EF1F7FD92501CF16E9434B352F5B8ABC086B2D029870CC577CC6","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the nine-State convention-ratification threshold and its resulting establishment of the Constitution among the ratifying States.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
