"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000001","YES","C3","CONSTITUTIONAL-AUTHORITY-LINEAGE / OPERATION-SCOPED-AUTHORITY","00-governance/CANONICAL_AUTHORITY_POLICY.md;03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json","NONE-EXACT","NOT-GAP","Formal preexisting architecture distinguishes legislative authority, constitutional source lineage, authority scope, and actor-operation authority. Exact general Article I vesting execution is not independently proven.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000002","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","The admitted pre-crosswalk evidence does not demonstrate the Senate-plus-House bicameral composition rule as an ORYNTH control mechanism.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000003","YES","C1","ELECTION-SOURCE-DEPENDENCY / TEMPORAL-AUTHORITY-CONCEPT","03-constitutional-dependency-graph/executable/EXECUTABLE_DEPENDENCY_GRAPH.json;13-invariants/CSI_FEDERAL_ELECTION_INVARIANTS.md","NONE-EXACT","NOT-GAP","Preexisting election architecture recognizes Article I Section 2 dependencies and temporal authority, but does not demonstrate the exact selector-plus-two-year House selection mechanism.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000004","YES","C3","ARTICLE-I-S2 VOTER-QUALIFICATION DEPENDENCY","02-constitutional-object-model/registry/QUALIFICATION.yaml;03-constitutional-dependency-graph/executable/EXECUTABLE_DEPENDENCY_GRAPH.json;08-jurisdiction-and-evidence/resolver/JURISDICTION_RULES.json;17-reference-implementation/fixtures/EXECUTION_VECTORS.json","ARTICLE-I-S2 executable election path exists; exact State-most-numerous-branch equivalence not separately proven.","NOT-GAP","Formal and executable source-to-voter-qualification machinery is preexisting and anchored to Article I Section 2, but the exact constitutional qualification equivalence is not fully demonstrated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000005","YES","C2","TYPED-CONSTITUTIONAL-QUALIFICATION","02-constitutional-object-model/registry/QUALIFICATION.yaml;13-invariants/CSI_FEDERAL_ELECTION_INVARIANTS.md","NONE-EXACT","NOT-GAP","ORYNTH preexisting architecture independently types candidate and voter qualifications, but the exact Representative age, citizenship-duration, and inhabitancy thresholds are not instantiated in the admitted evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000006","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk ORYNTH mechanism demonstrates the source-defined apportionment and direct-tax population formula.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000007","YES","C1","TEMPORAL-AUTHORITY / SOURCE-SCOPED-PROCEDURE","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Temporal and source-scoped authority concepts preexist, but the census enumeration schedule and lawful-direction mechanism are not specifically represented.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000008","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism implements the one-per-thirty-thousand numerical ceiling.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000009","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism implements the minimum one-Representative-per-State allocation rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000010","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism represents the named transitional State allocation and quantities.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000011","YES","C1","CONDITIONAL-ACTOR-AUTHORITY","00-governance/CANONICAL_AUTHORITY_POLICY.md;17-reference-implementation/src/csi/authority_resolver.py","NONE-EXACT","NOT-GAP","ORYNTH preexisting architecture supports actor-operation authority and fail-closed unknown authority, but not the exact House-vacancy State-Executive writ mechanism.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000012","YES","C2","ACTOR-OPERATION AUTHORITY SCOPE","02-constitutional-object-model/registry/AUTHORITY.yaml;17-reference-implementation/src/csi/authority_resolver.py;13-invariants/CSI_EXECUTABLE_KERNEL_INVARIANTS.md","GENERIC-AUTHORITY-RESOLVER","NOT-GAP","The structural control that a specific actor may perform only registered operations is preexisting. House-officer selection is not itself registered.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000013","YES","C2","EXCLUSIVE ACTOR / AUTHORITY-COLLISION CONTROL","07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;17-reference-implementation/src/csi/authority_collision.py;17-reference-implementation/src/csi/authority_resolver.py","GENERIC-COLLISION-RESOLVER","NOT-GAP","Preexisting ORYNTH can enforce actor-specific operation scope and block unresolved competing authorities, but impeachment is not an instantiated operation in the admitted evidence.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000014","YES","C1","STRUCTURAL / TEMPORAL AUTHORITY CONCEPTS","03-constitutional-dependency-graph/source/CORE_CONSTITUTIONAL_ARCHITECTURE.yaml;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","NONE-EXACT","NOT-GAP","Structural and temporal controls preexist, but two Senators per State and the six-year Senate term are not demonstrated as ORYNTH mechanisms.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000015","YES","C1","OPERATION-SCOPE LIMITATION","00-governance/CANONICAL_AUTHORITY_POLICY.md;02-constitutional-object-model/registry/LIMITATION.yaml","NONE-EXACT","NOT-GAP","Scope limitation is a preexisting ORYNTH concept, but the quantitative one-vote-per-Senator constraint is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000016","NO-DEMONSTRATED","C0","NONE-DEMONSTRATED","","NONE","GAP-CANDIDATE-NOT-CONFIRMED","No admitted pre-crosswalk mechanism demonstrates the initial three-class Senate distribution.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000017","YES","C1","TEMPORAL-AUTHORITY CONTROL","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json;17-reference-implementation/src/csi/temporal_authority.py","TEMPORAL-RESOLVER-GENERIC","NOT-GAP","Executable temporal validity exists, but the specific second/fourth/sixth-year class staggering and one-third recurrence are not encoded.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000018","YES","C3","TEMPORARY-APPOINTMENT / TEMPORAL-AUTHORITY","13-invariants/CSI_FEDERAL_ELECTION_INVARIANTS.md;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json;17-reference-implementation/src/csi/temporal_authority.py;18-verification/proof-discharge/DISCHARGED_PROOFS_BATCH_10.md","TemporalAuthorityResolver + TEMP-002 prove expiration; exact Senate vacancy/recess actor path is not fully bound.","NOT-GAP","A preexisting invariant explicitly prevents temporary appointment authority from becoming permanent, and executable temporal authority closes expired authority. Exact State-Executive/Senate-vacancy predicates remain unmatched.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000019","YES","C2","TYPED-CONSTITUTIONAL-QUALIFICATION","02-constitutional-object-model/registry/QUALIFICATION.yaml;13-invariants/CSI_FEDERAL_ELECTION_INVARIANTS.md","NONE-EXACT","NOT-GAP","Candidate qualification is independently typed, but the exact Senator age, citizenship-duration, and inhabitancy thresholds are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000020","YES","C2","ROLE-TYPED PRESIDENT-OF-SENATE AUTHORITY","09-uaa-bridge/elections/resolver/UAA_AUTHORITY_RULES.json;16-test-vectors/elections/authority/FEDERAL_ELECTION_AUTHORITY_TESTS.yaml","FEA_004 recognizes PRESIDENT_OF_SENATE role for OPEN_ELECTOR_CERTIFICATE; tie-vote condition not tested.","NOT-GAP","ORYNTH already represents President-of-Senate as a distinct role with operation-specific authority. The constitutional tie-vote exception itself is not represented.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000021","YES","C1","CONDITIONAL ACTOR-AUTHORITY CONCEPT","17-reference-implementation/src/csi/authority_resolver.py;02-constitutional-object-model/registry/AUTHORITY.yaml","NONE-EXACT","NOT-GAP","Actor-operation authorization is preexisting, but Senate officer selection and the Vice-Presidential trigger are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000022","YES","C2","EXCLUSIVE ACTOR / AUTHORITY-COLLISION CONTROL","07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;17-reference-implementation/src/csi/authority_collision.py;17-reference-implementation/src/csi/authority_resolver.py","GENERIC-COLLISION-RESOLVER","NOT-GAP","The architecture can constrain an operation to an authorized actor and block competing authority, but Senate impeachment trial is not a registered operation.","NOT-PERFORMED","NOT-PERFORMED"
