"crosswalk_id","mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","preexisting_status","correspondence_grade","review_status"
"US-CW-000002","US-CM-000002","US-CONST-ATOM-000002","F2","UNITED-STATES/FEDERAL/LEGISLATIVE-STRUCTURE","Congress is constitutionally constituted as two distinct chambers: the Senate and the House of Representatives.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000006","US-CM-000006","US-CONST-ATOM-000006","F6","UNITED-STATES/STATES/APPORTIONMENT","Representation and direct-tax apportionment operate among the States according to the population rule stated in the source text.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000008","US-CM-000008","US-CONST-ATOM-000008","F3","UNITED-STATES/HOUSE/APPORTIONMENT","The number of Representatives is bounded by a maximum ratio of one Representative for every thirty thousand persons under this source rule.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000009","US-CM-000009","US-CONST-ATOM-000009","F3","UNITED-STATES/HOUSE/STATES","Each State is guaranteed at least one Representative under the stated apportionment structure.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000010","US-CM-000010","US-CONST-ATOM-000010","F6","UNITED-STATES/HOUSE/INITIAL-STATE-ALLOCATION","Before completion of the first enumeration, representation is allocated among the named States according to the source's transitional allocation.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000016","US-CM-000016","US-CONST-ATOM-000016","F3","UNITED-STATES/SENATE/INITIAL-CLASSIFICATION","Following the first election, Senators are procedurally divided as equally as possible into three classes.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000024","US-CM-000024","US-CONST-ATOM-000024","F2","UNITED-STATES/SENATE/PRESIDENTIAL-IMPEACHMENT","When the President is tried by the Senate, presiding authority is assigned to the Chief Justice.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000025","US-CM-000025","US-CONST-ATOM-000025","F4","UNITED-STATES/SENATE/IMPEACHMENT-CONVICTION","Impeachment conviction requires concurrence of two thirds of the Senate members present.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000032","US-CM-000032","US-CONST-ATOM-000032","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/QUORUM","A majority of each House constitutes the quorum required to conduct business.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000033","US-CM-000033","US-CONST-ATOM-000033","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/NO-QUORUM","A number smaller than a quorum is granted the limited authority to adjourn from day to day.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000036","US-CM-000036","US-CONST-ATOM-000036","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-DISCIPLINE","Each House is granted authority to punish its own members for disorderly behavior.","NO-DEMONSTRATED","C0","WAVE-01-ADJUDICATED"
"US-CW-000037","US-CM-000037","US-CONST-ATOM-000037","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-EXPULSION","Expulsion of a member by either House requires concurrence of two thirds.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
"US-CW-000038","US-CM-000038","US-CONST-ATOM-000038","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL","Each House is required to keep a Journal of its proceedings.","NO-DEMONSTRATED","C0","WAVE-02-ADJUDICATED"
