"candidate_id","amendment_number","amendment_roman","source_object_id","section_number","source_segment_id","source_path","source_line_start","source_line_end","candidate_text","candidate_origin","atomicity_status","split_status","interpretation_status","mechanism_status","predicate_status","crosswalk_status","review_status"
"US-AM-ATOM-CAND-000001","1","I","CONST.AMENDMENT.01","","US-AM-SEG-000002","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000002","2","II","CONST.AMENDMENT.02","","US-AM-SEG-000004","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","427","427","A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000003","3","III","CONST.AMENDMENT.03","","US-AM-SEG-000006","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","431","431","No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000004","4","IV","CONST.AMENDMENT.04","","US-AM-SEG-000008","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","435","435","The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated, and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000005","5","V","CONST.AMENDMENT.05","","US-AM-SEG-000010","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","439","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000006","6","VI","CONST.AMENDMENT.06","","US-AM-SEG-000012","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","443","443","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in his favor, and to have the Assistance of Counsel for his defence.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000007","7","VII","CONST.AMENDMENT.07","","US-AM-SEG-000014","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","447","447","In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved, and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000008","8","VIII","CONST.AMENDMENT.08","","US-AM-SEG-000016","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","451","451","Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000009","9","IX","CONST.AMENDMENT.09","","US-AM-SEG-000018","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","455","455","The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000010","10","X","CONST.AMENDMENT.10","","US-AM-SEG-000020","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","459","459","The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000011","11","XI","CONST.AMENDMENT.11","","US-AM-SEG-000024","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","376","376","The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000012","12","XII","CONST.AMENDMENT.12","","US-AM-SEG-000028","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","384","384","The Electors shall meet in their respective states and vote by ballot for President and Vice-President, one of whom, at least, shall not be an inhabitant of the same state with themselves; they shall name in their ballots the person voted for as President, and in distinct ballots the person voted for as Vice-President, and they shall make distinct lists of all persons voted for as President, and of all persons voted for as Vice-President, and of the number of votes for each, which lists they shall sign and certify, and transmit sealed to the seat of the government of the United States, directed to the President of the Senate; -- the President of the Senate shall, in the presence of the Senate and House of Representatives, open all the certificates and the votes shall then be counted; -- The person having the greatest number of votes for President, shall be the President, if such number be a majority of the whole number of Electors appointed; and if no person have such majority, then from the persons having the highest numbers not exceeding three on the list of those voted for as President, the House of Representatives shall choose immediately, by ballot, the President. But in choosing the President, the votes shall be taken by states, the representation from each state having one vote; a quorum for this purpose shall consist of a member or members from two-thirds of the states, and a majority of all the states shall be necessary to a choice. [And if the House of Representatives shall not choose a President whenever the right of choice shall devolve upon them, before the fourth day of March next following, then the Vice-President shall act as President, as in the case of the death or other constitutional disability of the President. --]* The person having the greatest number of votes as Vice-President, shall be the Vice-President, if such number be a majority of the whole number of Electors appointed, and if no person have a majority, then from the two highest numbers on the list, the Senate shall choose the Vice-President; a quorum for the purpose shall consist of two-thirds of the whole number of Senators, and a majority of the whole number shall be necessary to a choice. But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000013","13","XIII","CONST.AMENDMENT.13","1","US-AM-SEG-000034","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","396","396","Neither slavery nor involuntary servitude, except as a punishment for crime whereof the party shall have been duly convicted, shall exist within the United States, or any place subject to their jurisdiction.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000014","13","XIII","CONST.AMENDMENT.13","2","US-AM-SEG-000036","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","400","400","Congress shall have power to enforce this article by appropriate legislation.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000015","14","XIV","CONST.AMENDMENT.14","1","US-AM-SEG-000041","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","410","410","All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside. No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States; nor shall any State deprive any person of life, liberty, or property, without due process of law; nor deny to any person within its jurisdiction the equal protection of the laws.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000016","14","XIV","CONST.AMENDMENT.14","2","US-AM-SEG-000043","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","414","414","Representatives shall be apportioned among the several States according to their respective numbers, counting the whole number of persons in each State, excluding Indians not taxed. But when the right to vote at any election for the choice of electors for President and Vice-President of the United States, Representatives in Congress, the Executive and Judicial officers of a State, or the members of the Legislature thereof, is denied to any of the male inhabitants of such State, being twenty-one years of age,* and citizens of the United States, or in any way abridged, except for participation in rebellion, or other crime, the basis of representation therein shall be reduced in the proportion which the number of such male citizens shall bear to the whole number of male citizens twenty-one years of age in such State.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
"US-AM-ATOM-CAND-000017","14","XIV","CONST.AMENDMENT.14","3","US-AM-SEG-000045","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","418","418","No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability.","AUTHORITATIVE-OPERATIVE-TEXT","UNASSESSED","UNASSESSED","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED","PENDING-ATOMICITY-REVIEW"
