"mechanism_id","preexisting_by_baseline","correspondence_grade","orynth_candidate_mechanism","evidence_paths","executable_evidence","gap_state","adjudication_rationale","proof_binding_status","crosswalk_materialization_status"
"US-CM-000073","YES","C1","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is a valid preexisting constitutional source anchor and ORYNTH represents constitutionally sourced scoped power and authority lineage, but the exact substantive congressional power is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000074","YES","C1","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is a valid preexisting constitutional source anchor and ORYNTH represents constitutionally sourced scoped power and authority lineage, but the exact substantive congressional power is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000075","YES","C1","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is a valid preexisting constitutional source anchor and ORYNTH represents constitutionally sourced scoped power and authority lineage, but the exact substantive congressional power is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000076","YES","C1","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is a valid preexisting constitutional source anchor and ORYNTH represents constitutionally sourced scoped power and authority lineage, but the exact substantive congressional power is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000077","YES","C1","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is a valid preexisting constitutional source anchor and ORYNTH represents constitutionally sourced scoped power and authority lineage, but the exact substantive congressional power is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000078","YES","C1","SOURCE-ANCHORED ENUMERATED-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","Article I Section 8 is a valid preexisting constitutional source anchor and ORYNTH represents constitutionally sourced scoped power and authority lineage, but the exact substantive congressional power is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000079","YES","C2","TEMPORALLY-BOUNDED CONSTITUTIONAL LIMITATION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;02-constitutional-object-model/registry/LIMITATION.yaml;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","NONE-EXACT","NOT-GAP","ORYNTH formally represents source-derived prohibitions and temporal authority boundaries. The exact two-year army-appropriation ceiling is not instantiated, so correspondence is architectural.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000080","YES","C1","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The baseline architecture represents scoped constitutionally sourced power but does not instantiate this exact military or militia operation.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000081","YES","C1","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The baseline architecture represents scoped constitutionally sourced power but does not instantiate this exact military or militia operation.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000082","YES","C1","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The baseline architecture represents scoped constitutionally sourced power but does not instantiate this exact military or militia operation.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000083","YES","C1","SOURCE-ANCHORED ENUMERATED-MILITARY-POWER CONCEPT","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/POWER.yaml;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","The baseline architecture represents scoped constitutionally sourced power but does not instantiate this exact military or militia operation.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000084","YES","C2","CONDITION-ACTIVATED FEDERAL JURISDICTION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/JURISDICTION.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml","NONE-EXACT","NOT-GAP","ORYNTH expressly models jurisdiction as a source-derived, operation-specific boundary whose validity depends on registered conditions. The exact Militia federal-service condition is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000085","YES","C2","RESERVED STATE AUTHORITY / FEDERAL-STATE SEPARATION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","The architecture separates STATE authority from federal authority and detects overlapping authority or jurisdiction. The exact militia-officer appointment reservation is not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000086","YES","C2","DIVIDED FEDERAL-STATE AUTHORITY","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json;02-constitutional-object-model/registry/JURISDICTION.yaml","NONE-EXACT","NOT-GAP","ORYNTH formally preserves distinct authority classes and detects authority/jurisdiction collisions. This corresponds architecturally to State training authority remaining separate from congressional discipline authority, without an exact militia rule.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000087","YES","C2","CONDITIONED TERRITORIAL JURISDICTION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/JURISDICTION.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py","NONE-EXACT","NOT-GAP","ORYNTH treats territorial and operation-specific jurisdiction as independently validated authority boundaries. The exact ten-mile-square, State-cession, congressional-acceptance, and federal-seat conditions are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000088","YES","C2","CONSENT-CONDITIONED TERRITORIAL JURISDICTION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/JURISDICTION.yaml;17-reference-implementation/src/csi/jurisdiction_resolver.py;07-constitutional-state-integrity/authority-collision/AUTHORITY_COLLISION_CONTRACT.json","NONE-EXACT","NOT-GAP","The baseline architecture can represent jurisdiction contingent on source, territorial scope, and separate authority conditions. The specific purchase, State-consent, location, and federal-use conditions are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000089","YES","C2","VESTED-POWER-TO-EXECUTION AUTHORITY CHAIN","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;04-authority-lineage/AUTHORITY_LINEAGE_REGISTRY.yaml;17-reference-implementation/src/csi/execution_resolver.py;07-constitutional-state-integrity/resolver/CONSEQUENCE_GATE_CONTRACT.json","NONE-EXACT","NOT-GAP","ORYNTH expressly separates foundational source, derived authority, admissibility, and consequential execution. This is an architectural match to an execution-linked power, but the Necessary and Proper condition itself is not formally encoded.","NOT-PERFORMED","NOT-PERFORMED"
"US-CM-000090","YES","C2","TEMPORAL CONSTITUTIONAL PROHIBITION","01-constitutional-source-map/source-integrity/anchors/CONSTITUTIONAL_SOURCE_ANCHORS.json;02-constitutional-object-model/registry/PROHIBITION.yaml;07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","NONE-EXACT","NOT-GAP","The baseline formally represents constitutional prohibitions whose authority state is time-bounded. The exact pre-1808 migration/importation rule and subject class are not instantiated.","NOT-PERFORMED","NOT-PERFORMED"
