"mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","final_predicate_count","planned_first_predicate_id","planned_last_predicate_id","independent_condition_summary","decision_basis","count_decision","review_status"
"US-CM-000216","US-AM-ATOM-000001","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/ESTABLISHMENT","The Constitution establishes this prohibition, right-protection, or negative constraint: Congress shall make no law respecting an establishment of religion","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000421","US-CP-000421","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000217","US-AM-ATOM-000002","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/FREE-EXERCISE","The Constitution establishes this prohibition, right-protection, or negative constraint: or prohibiting the free exercise thereof","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000422","US-CP-000422","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000218","US-AM-ATOM-000003","F5","UNITED-STATES/CONGRESS/RIGHTS/SPEECH","The Constitution establishes this prohibition, right-protection, or negative constraint: or abridging the freedom of speech","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000423","US-CP-000423","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000219","US-AM-ATOM-000004","F5","UNITED-STATES/CONGRESS/RIGHTS/PRESS","The Constitution establishes this prohibition, right-protection, or negative constraint: or of the press","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000424","US-CP-000424","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000220","US-AM-ATOM-000005","F5","UNITED-STATES/CONGRESS/RIGHTS/ASSEMBLY","The Constitution establishes this prohibition, right-protection, or negative constraint: or the right of the people peaceably to assemble","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000425","US-CP-000425","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000221","US-AM-ATOM-000006","F5","UNITED-STATES/CONGRESS/RIGHTS/PETITION","The Constitution establishes this prohibition, right-protection, or negative constraint: and to petition the Government for a redress of grievances.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000426","US-CP-000426","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000222","US-AM-ATOM-000007","F5","UNITED-STATES/RIGHTS/KEEP-BEAR-ARMS","The Constitution establishes this prohibition, right-protection, or negative constraint: A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000427","US-CP-000427","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000223","US-AM-ATOM-000008","F5","UNITED-STATES/SOLDIER-QUARTERING/PEACE","The Constitution establishes this prohibition, right-protection, or negative constraint: No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000428","US-CP-000430","peace-time trigger; quartering-in-house condition; owner-consent condition","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000224","US-AM-ATOM-000009","F5","UNITED-STATES/SOLDIER-QUARTERING/WAR","The Constitution establishes this prohibition, right-protection, or negative constraint: nor in time of war, but in a manner to be prescribed by law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000431","US-CP-000432","war-time trigger; quartering only in a manner prescribed by law","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000225","US-AM-ATOM-000010","F5","UNITED-STATES/SEARCH-SEIZURE/UNREASONABLE","The Constitution establishes this prohibition, right-protection, or negative constraint: The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000433","US-CP-000433","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
