"candidate_clause_id","parent_source_unit_id","article","section","candidate_ordinal","normalized_text_sha256","decision","split_specification","atomicity_finding","decision_basis","anchor_validation_view","source_text_changed","constitutional_role","doctrine_used","orynth_concepts_used","adjudication_status"
"US-CONST-ART01-SEC05-CL000-AT001","US-CONST-ART01-SEC05-CL000","1","5","1","C4B3E1826F82F84755F88973E5B223A1F38CCF737D2942022B2416B9C7EA6661","FURTHER-SPLIT","SPLIT-BEFORE=""and a Majority of each shall constitute a Quorum to do Business""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The House's authority to judge elections, returns, and qualifications is textually distinct from the majority-quorum requirement.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC05-CL000-AT002","US-CONST-ART01-SEC05-CL000","1","5","2","E6CD45A3B57D2EE34D7F8E647A35DA2D79D0F278B404C0EE47E51160CA798476","FURTHER-SPLIT","SPLIT-BEFORE=""and may be authorized to compel the Attendance of absent Members""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Adjournment by a smaller number and authority to compel absent Members are independently stated powers.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC05-CL000-AT003","US-CONST-ART01-SEC05-CL000","1","5","3","C430926647D733049FBB74DA81B9B27C14D784A79F9C9CBA3D99A10050712428","FURTHER-SPLIT","SPLIT-BEFORE=""punish its Members for disorderly Behaviour""; SPLIT-BEFORE=""and, with the Concurrence of two thirds, expel a Member""","NONATOMIC-FURTHER-SPLIT-REQUIRED","Rulemaking, punishment for disorderly behavior, and expulsion subject to a two-thirds concurrence threshold are separately testable propositions.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC05-CL000-AT004","US-CONST-ART01-SEC05-CL000","1","5","4","FB6669C844D425B6541E3A3E900E57E7F923FCC645D1F3A5989BAD0D9A5ABB86","FURTHER-SPLIT","SPLIT-BEFORE=""and from time to time publish the same""","NONATOMIC-FURTHER-SPLIT-REQUIRED","The duty to keep a Journal and the duty to publish it, subject to the textual secrecy exception, are distinct requirements.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC05-CL000-AT005","US-CONST-ART01-SEC05-CL000","1","5","5","EC873CB56C205E97D2844FF42C63456AD54904258FE689297DB786EA0608CFC1","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one integrated requirement for recording Yeas and Nays upon the stated one-fifth request threshold.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC05-CL000-AT006","US-CONST-ART01-SEC05-CL000","1","5","6","8D1D5FCE21E115E790A267338F49AB80C33BE2070FDA1E50D48CEAC1731E1897","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one integrated inter-House consent limitation on adjournment duration and location.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC06-CL000-AT001","US-CONST-ART01-SEC06-CL000","1","6","1","30906B9C1852A14256F270851F23D01659DE2A2FEF5CD56F731557C5E198775B","RETAIN","","ADJUDICATED-ATOMIC","The compensation entitlement together with legal ascertainment and Treasury payment conditions forms one integrated provision.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC06-CL000-AT002","US-CONST-ART01-SEC06-CL000","1","6","2","E84ACBE6C8113FE2376A2F7C19F030D34E2AD57D4D603132A43FF09362FEB911","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the privilege from arrest together with its express exceptions and temporal scope.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC06-CL000-AT003","US-CONST-ART01-SEC06-CL000","1","6","3","A34B7AD8A1BA84C3F8B98243157FD65E0F1DBACE1DBC0272AB05603BDFAF2043","RETAIN","","ADJUDICATED-ATOMIC","The candidate states the Speech or Debate protection as one proposition.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
"US-CONST-ART01-SEC06-CL000-AT004","US-CONST-ART01-SEC06-CL000","1","6","4","6245A7F585AF99047A417D87DC6654122365116A58343273C1458E374814B299","RETAIN","","ADJUDICATED-ATOMIC","The candidate states one integrated prohibition on appointment to specified civil offices during the elected term.","WHITESPACE-NORMALIZED+SOFT-LINEWRAP-DEHYPHENATED","NO","UNASSESSED","NO","NO","CLOSED"
