"source_unit_id","article","section","source_locator","structural_boundary_status","internal_boundary_status","candidate_atomic_clause_count","adjudicated_atomic_clause_count","boundary_method","interpretation_allowed","orynth_mapping_allowed","adjudication_note"
"US-CONST-ART01-SEC01-CL000","1","1","Article I, Section 1; raw lines 18-20; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","1","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC02-CL000","1","2","Article I, Section 2; raw lines 22-56; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","8","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC03-CL000","1","3","Article I, Section 3; raw lines 58-96; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","9","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC04-CL000","1","4","Article I, Section 4; raw lines 98-105; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","3","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC05-CL000","1","5","Article I, Section 5; raw lines 107-126; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","6","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC06-CL000","1","6","Article I, Section 6; raw lines 128-144; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","6","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC07-CL000","1","7","Article I, Section 7; raw lines 146-176; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","6","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC08-CL000","1","8","Article I, Section 8; raw lines 178-230; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","19","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC09-CL000","1","9","Article I, Section 9; raw lines 232-259; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","6","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART01-SEC10-CL000","1","10","Article I, Section 10; raw lines 261-281; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","10","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART02-SEC01-CL000","2","1","Article II, Section 1; raw lines 284-353; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","17","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART02-SEC02-CL000","2","2","Article II, Section 2; raw lines 355-378; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","5","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART02-SEC03-CL000","2","3","Article II, Section 3; raw lines 380-390; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","4","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART02-SEC04-CL000","2","4","Article II, Section 4; raw lines 392-397; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","2","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART03-SEC01-CL000","3","1","Article III, Section 1; raw lines 400-407; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","2","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART03-SEC02-CL000","3","2","Article III, Section 2; raw lines 409-433; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","11","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART03-SEC03-CL000","3","3","Article III, Section 3; raw lines 435-445; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","3","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART04-SEC01-CL000","4","1","Article IV, Section 1; raw lines 448-452; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","2","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART04-SEC02-CL000","4","2","Article IV, Section 2; raw lines 454-466; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","2","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART04-SEC03-CL000","4","3","Article IV, Section 3; raw lines 468-478; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","5","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART04-SEC04-CL000","4","4","Article IV, Section 4; raw lines 480-484; candidate section source unit","VERIFIED","CANDIDATES-GENERATED","2","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART05-SEC00-CL000","5","0","Article V; raw lines 486-502; candidate article source unit","VERIFIED","CANDIDATES-GENERATED","3","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART06-SEC00-CL000","6","0","Article VI; raw lines 504-521; candidate article source unit","VERIFIED","CANDIDATES-GENERATED","5","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
"US-CONST-ART07-SEC00-CL000","7","0","Article VII; raw lines 523-525; candidate article source unit","VERIFIED","CANDIDATES-GENERATED","1","","TEXTUAL-STRUCTURAL","NO","NO","Decompose verified source text into atomic constitutional propositions without importing ORYNTH terminology or doctrinal interpretation."
