"candidate_id","mechanism_id","mechanism_family","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","derivation_status","orynth_mapping","proof_binding","notes"
"US-CP-CAND-W05-0001","US-CM-000145","F3","PRE-EXECUTION-OATH","presidential_office_execution_begins_only_after_oath_or_affirmation_taken == TRUE","The prescribed oath or affirmation is taken before execution of the presidential office begins.","The President enters upon execution of the office before taking the oath or affirmation.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0002","US-CM-000145","F3","PRESCRIBED-OATH-CONTENT","presidential_oath_or_affirmation_content == SOURCE_PRESCRIBED_OATH","The oath or affirmation used is the constitutionally prescribed oath.","A materially different oath or affirmation is substituted for the source-prescribed form.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Packet display encoding does not authorize source-text mutation."
"US-CP-CAND-W05-0003","US-CM-000146","F3","COMMANDER-IN-CHIEF-FORCE-SCOPE","commander_in_chief_force in {ARMY_OF_UNITED_STATES,NAVY_OF_UNITED_STATES}","The presidential Commander-in-Chief role applies to the Army or Navy of the United States.","This mechanism is attributed to a force outside the source-defined federal military classes.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0004","US-CM-000146","F3","MILITIA-FEDERAL-SERVICE-CONDITION","if commander_in_chief_force == STATE_MILITIA then militia_called_into_actual_service_of_united_states == TRUE","Presidential Commander-in-Chief authority over State Militia attaches when the Militia is called into actual service of the United States.","Commander-in-Chief authority over State Militia is asserted outside the source federal-service condition.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0005","US-CM-000147","F3","OFFICER-CLASS","opinion_provider == PRINCIPAL_OFFICER_OF_EXECUTIVE_DEPARTMENT","The requested opinion is from a principal officer of an executive department.","The source-defined opinion authority is attributed to a different officer class.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0006","US-CM-000147","F3","WRITTEN-FORM","executive_department_opinion_form == WRITTEN","The requested opinion is in writing.","The source-defined written-opinion requirement is absent.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0007","US-CM-000147","F3","DUTY-RELATED-SUBJECT","opinion_subject_relates_to_duties_of_provider_office == TRUE","The opinion concerns a subject relating to the duties of the officer's respective office.","The opinion request falls outside the source-defined official-duty subject scope.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0008","US-CM-000148","F3","CLEMENCY-ACTION-SCOPE","presidential_clemency_action in {REPRIEVE,PARDON}","The action is a reprieve or pardon.","A different action is attributed to the source clemency power.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0009","US-CM-000148","F3","FEDERAL-OFFENSE-SCOPE","clemency_offense_domain == OFFENSE_AGAINST_UNITED_STATES","The reprieve or pardon concerns an offense against the United States.","The clemency power is attributed outside the source-defined federal offense domain.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0010","US-CM-000148","F3","IMPEACHMENT-EXCEPTION","clemency_case_type != IMPEACHMENT","The clemency action is not exercised in a case of impeachment.","The source clemency power is asserted in an expressly excepted impeachment case.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0011","US-CM-000149","F4","TREATY-MAKING-PRINCIPAL","treaty_making_principal == PRESIDENT","The President exercises the source treaty-making function.","The treaty-making role is attributed to a different principal.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0012","US-CM-000149","F4","SENATE-ADVICE-CONSENT","senate_advice_and_consent_present == TRUE","Senate advice and consent is present.","A treaty is treated as authorized without the required Senate participation.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0013","US-CM-000149","F4","TREATY-CONCURRENCE-THRESHOLD","senators_present_concurring * 3 >= senators_present * 2","At least two thirds of Senators present concur.","The treaty concurrence threshold is below two thirds of Senators present.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED","Integer comparison avoids ratio-rounding ambiguity."
"US-CP-CAND-W05-0014","US-CM-000150","F3","NOMINATION-ACTOR","federal_nomination_actor == PRESIDENT","The nomination function is exercised by the President.","The source nomination function is attributed to another actor.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0015","US-CM-000150","F3","NOMINATION-APPOINTMENT-SEPARATION","nomination_stage != COMPLETED_APPOINTMENT","Nomination remains distinct from completed appointment.","Presidential nomination alone is treated as completed appointment under this mechanism.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
"US-CP-CAND-W05-0016","US-CM-000151","F4","COVERED-OFFICE-SCOPE","appointment_office in {AMBASSADOR,OTHER_PUBLIC_MINISTER,CONSUL,SUPREME_COURT_JUDGE,OTHER_ESTABLISHED_OFFICER_OF_UNITED_STATES_NOT_OTHERWISE_PROVIDED_FOR}","The office falls within the source-defined covered appointment classes.","This appointment mechanism is attributed to an office outside the source coverage.","REQUIRE-SATISFIED","ADJUDICATED","NOT-PERFORMED","NOT-PERFORMED",""
