"predicate_id","mechanism_id","predicate_ordinal_within_mechanism","mechanism_predicate_count","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","independent_condition_summary","predicate_class","predicate_expression","required_state","failure_state","resolution_policy","status","review_status"
"US-CP-000421","US-CM-000216","1","1","US-AM-ATOM-000001","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/ESTABLISHMENT","The Constitution establishes this prohibition, right-protection, or negative constraint: Congress shall make no law respecting an establishment of religion","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000422","US-CM-000217","1","1","US-AM-ATOM-000002","F5","UNITED-STATES/CONGRESS/RIGHTS/RELIGION/FREE-EXERCISE","The Constitution establishes this prohibition, right-protection, or negative constraint: or prohibiting the free exercise thereof","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000423","US-CM-000218","1","1","US-AM-ATOM-000003","F5","UNITED-STATES/CONGRESS/RIGHTS/SPEECH","The Constitution establishes this prohibition, right-protection, or negative constraint: or abridging the freedom of speech","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000424","US-CM-000219","1","1","US-AM-ATOM-000004","F5","UNITED-STATES/CONGRESS/RIGHTS/PRESS","The Constitution establishes this prohibition, right-protection, or negative constraint: or of the press","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000425","US-CM-000220","1","1","US-AM-ATOM-000005","F5","UNITED-STATES/CONGRESS/RIGHTS/ASSEMBLY","The Constitution establishes this prohibition, right-protection, or negative constraint: or the right of the people peaceably to assemble","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000426","US-CM-000221","1","1","US-AM-ATOM-000006","F5","UNITED-STATES/CONGRESS/RIGHTS/PETITION","The Constitution establishes this prohibition, right-protection, or negative constraint: and to petition the Government for a redress of grievances.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000427","US-CM-000222","1","1","US-AM-ATOM-000007","F5","UNITED-STATES/RIGHTS/KEEP-BEAR-ARMS","The Constitution establishes this prohibition, right-protection, or negative constraint: A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","single source-bounded independently testable condition represented by the frozen mechanism","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000428","US-CM-000223","1","3","US-AM-ATOM-000008","F5","UNITED-STATES/SOLDIER-QUARTERING/PEACE","The Constitution establishes this prohibition, right-protection, or negative constraint: No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","peace-time trigger; quartering-in-house condition; owner-consent condition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000429","US-CM-000223","2","3","US-AM-ATOM-000008","F5","UNITED-STATES/SOLDIER-QUARTERING/PEACE","The Constitution establishes this prohibition, right-protection, or negative constraint: No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","peace-time trigger; quartering-in-house condition; owner-consent condition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000430","US-CM-000223","3","3","US-AM-ATOM-000008","F5","UNITED-STATES/SOLDIER-QUARTERING/PEACE","The Constitution establishes this prohibition, right-protection, or negative constraint: No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","peace-time trigger; quartering-in-house condition; owner-consent condition","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
"US-CP-000431","US-CM-000224","1","2","US-AM-ATOM-000009","F5","UNITED-STATES/SOLDIER-QUARTERING/WAR","The Constitution establishes this prohibition, right-protection, or negative constraint: nor in time of war, but in a manner to be prescribed by law.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","war-time trigger; quartering only in a manner prescribed by law","","","","","","PENDING-SEMANTIC-ADJUDICATION","REVIEW-REQUIRED"
