"remediation_id","crosswalk_id","mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","predicate_count","predicate_ids","preexisting_status","preexisting_correspondence_grade","remediation_mode","disposition","remediation_status","implementation_path","implementation_sha256","created_after_crosswalk","proof_binding_status","created_from_head"
"US-C0-REM-000001","US-CW-000002","US-CM-000002","US-CONST-ATOM-000002","F2","UNITED-STATES/FEDERAL/LEGISLATIVE-STRUCTURE","1","US-CP-000003","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000002.yaml","3FDBFF8784A2602EDACC3AABF6F8495AAA91181565C9FF9ED7F2697E162C303E","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000002","US-CW-000006","US-CM-000006","US-CONST-ATOM-000006","F6","UNITED-STATES/STATES/APPORTIONMENT","2","US-CP-000010|US-CP-000011","NO-DEMONSTRATED","C0","SOURCE-STATE-ONLY","SOURCE-STATE-SUPERSESSION-UNASSESSED","RESOLVED-SOURCE-STATE","constitutional-proof/07-remediation/c0/source-state/US-CM-000006.yaml","BD4505C540F165F69D717BA2163800748C30109623F889AB6CD3526EE8A5CD0F","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000003","US-CW-000008","US-CM-000008","US-CONST-ATOM-000008","F3","UNITED-STATES/HOUSE/APPORTIONMENT","1","US-CP-000015","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000008.yaml","541F06B1559EB6F2569EE1BA6E7E616B662CFE8782A6047B8D4F3610C31309E2","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000004","US-CW-000009","US-CM-000009","US-CONST-ATOM-000009","F3","UNITED-STATES/HOUSE/STATES","1","US-CP-000016","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000009.yaml","4560A558E1DE683360F577B0629FBF4E89989434765C84F725B856EDF7CAD37D","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000005","US-CW-000010","US-CM-000010","US-CONST-ATOM-000010","F6","UNITED-STATES/HOUSE/INITIAL-STATE-ALLOCATION","2","US-CP-000017|US-CP-000018","NO-DEMONSTRATED","C0","SOURCE-STATE-ONLY","SOURCE-STATE-HISTORICAL-INITIAL-ALLOCATION","RESOLVED-SOURCE-STATE","constitutional-proof/07-remediation/c0/source-state/US-CM-000010.yaml","E292E43D17ADED2326BCCB5F837D589CFDD7D820DEBB2182C6FF1C4EE1D30DC1","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000006","US-CW-000016","US-CM-000016","US-CONST-ATOM-000016","F3","UNITED-STATES/SENATE/INITIAL-CLASSIFICATION","2","US-CP-000026|US-CP-000027","NO-DEMONSTRATED","C0","SOURCE-STATE-ONLY","SOURCE-STATE-HISTORICAL-INITIALIZATION","RESOLVED-SOURCE-STATE","constitutional-proof/07-remediation/c0/source-state/US-CM-000016.yaml","4168FC1C5D5426E264E6BAB044AFED9366DC65AE1D79617A349E27E7EE7BD4FD","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000007","US-CW-000024","US-CM-000024","US-CONST-ATOM-000024","F2","UNITED-STATES/SENATE/PRESIDENTIAL-IMPEACHMENT","1","US-CP-000043","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000024.yaml","300C528C97848EDBB9EC9207FCC3799C522A267BEE5CDC740A3CFC331DFA94FB","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000008","US-CW-000025","US-CM-000025","US-CONST-ATOM-000025","F4","UNITED-STATES/SENATE/IMPEACHMENT-CONVICTION","1","US-CP-000044","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000025.yaml","C62798B4E55099D5520F7CEC31A455C9581105EA4263CD1C16F7AD5562789C83","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000009","US-CW-000032","US-CM-000032","US-CONST-ATOM-000032","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/QUORUM","1","US-CP-000053","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000032.yaml","F8F79FDF3B5777D7FA083464B9153BF58077F7C1A925789C9BF66954C99A16EA","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000010","US-CW-000033","US-CM-000033","US-CONST-ATOM-000033","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/NO-QUORUM","1","US-CP-000054","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000033.yaml","E5D91732C154D9F38CCFE20D6A18C2B7AD95D90D86879039A8F39E023A47060B","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000011","US-CW-000036","US-CM-000036","US-CONST-ATOM-000036","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-DISCIPLINE","2","US-CP-000058|US-CP-000059","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000036.yaml","2F2D51425DD6EA340095B02A053DC17AAF1A066EE0920F16C44E212FD94D88BA","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000012","US-CW-000037","US-CM-000037","US-CONST-ATOM-000037","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-EXPULSION","1","US-CP-000060","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000037.yaml","5F5648F502A2727027113BD4D22EE47E33EF1E995A366089F242DDB47AE590C7","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000013","US-CW-000038","US-CM-000038","US-CONST-ATOM-000038","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL","1","US-CP-000061","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000038.yaml","C0A9B3FCD78DCE405CA84180AD158C0E1A7138086545525D5F0515B0C6F9B86A","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000014","US-CW-000039","US-CM-000039","US-CONST-ATOM-000039","F3","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL-PUBLICATION","2","US-CP-000062|US-CP-000063","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000039.yaml","B51996917A2F898E7AB6B5F8FE6C9C3A5A3FAF300991A4F7A6D4F4730B4810E6","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000015","US-CW-000040","US-CM-000040","US-CONST-ATOM-000040","F4","UNITED-STATES/CONGRESS/EACH-HOUSE/RECORDED-VOTE","2","US-CP-000064|US-CP-000065","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000040.yaml","E12C1E2C64415CA8DD73017345EE56D1F413817CCACA834384BEF1B1BB7F04A3","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000016","US-CW-000041","US-CM-000041","US-CONST-ATOM-000041","F4","UNITED-STATES/CONGRESS/INTERHOUSE-ADJOURNMENT","2","US-CP-000066|US-CP-000067","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000041.yaml","6A4C26254202FADFFA5D2BF0A63E3D609B6776F6D5ACB4B246AE4075BAC70F20","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000017","US-CW-000042","US-CM-000042","US-CONST-ATOM-000042","F3","UNITED-STATES/CONGRESS/MEMBER-COMPENSATION","3","US-CP-000068|US-CP-000069|US-CP-000070","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000042.yaml","CC1407613816A343D259857454D16CC8BEA592BDEA82220C5E28E733B1FE566A","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
"US-C0-REM-000018","US-CW-000043","US-CM-000043","US-CONST-ATOM-000043","F5","UNITED-STATES/CONGRESS/MEMBER-ARREST-PRIVILEGE","2","US-CP-000071|US-CP-000072","NO-DEMONSTRATED","C0","DECLARATIVE-CONTROL","POST-CROSSWALK-STRUCTURAL-IMPLEMENTATION","RESOLVED-POST-CROSSWALK","constitutional-proof/07-remediation/c0/controls/US-CM-000043.yaml","1A71D603106C659119E671A13AC9DB39794A9AD3EFC27BB75EEC5A217A2ADC5D","YES","PENDING-09B","bdc1d009e78a1a8e5697b6f68bbde25848315c81"
