"mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","predicate_count","predicate_ids","crosswalk_id","orynth_repository","orynth_component","file_path","preexisting_status","correspondence_grade","canonical_proof_binding_count","integration_status"
"US-CM-000001","US-CONST-ATOM-000001","F1","UNITED-STATES/FEDERAL/LEGISLATIVE","2","US-CP-000001|US-CP-000002","US-CW-000001","ORYNTH-systems/orynth-constitutional-state-integrity","CONSTITUTIONAL-AUTHORITY-LINEAGE / OPERATION-SCOPED-AUTHORITY","00-governance/CANONICAL_AUTHORITY_POLICY.md","YES","C3","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000002","US-CONST-ATOM-000002","F2","UNITED-STATES/FEDERAL/LEGISLATIVE-STRUCTURE","1","US-CP-000003","US-CW-000002","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000003","US-CONST-ATOM-000003","F1","UNITED-STATES/HOUSE/STATE-ELECTORATES","2","US-CP-000004|US-CP-000005","US-CW-000003","ORYNTH-systems/orynth-constitutional-state-integrity","ELECTION-SOURCE-DEPENDENCY / TEMPORAL-AUTHORITY-CONCEPT","03-constitutional-dependency-graph/executable/EXECUTABLE_DEPENDENCY_GRAPH.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000004","US-CONST-ATOM-000004","F3","UNITED-STATES/HOUSE/STATE-ELECTOR-QUALIFICATIONS","1","US-CP-000006","US-CW-000004","ORYNTH-systems/orynth-constitutional-state-integrity","ARTICLE-I-S2 VOTER-QUALIFICATION DEPENDENCY","02-constitutional-object-model/registry/QUALIFICATION.yaml","YES","C3","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000005","US-CONST-ATOM-000005","F3","UNITED-STATES/HOUSE/MEMBER-QUALIFICATIONS","3","US-CP-000007|US-CP-000008|US-CP-000009","US-CW-000005","ORYNTH-systems/orynth-constitutional-state-integrity","TYPED-CONSTITUTIONAL-QUALIFICATION","02-constitutional-object-model/registry/QUALIFICATION.yaml","YES","C2","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000006","US-CONST-ATOM-000006","F6","UNITED-STATES/STATES/APPORTIONMENT","2","US-CP-000010|US-CP-000011","US-CW-000006","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000007","US-CONST-ATOM-000007","F3","UNITED-STATES/FEDERAL/ENUMERATION","3","US-CP-000012|US-CP-000013|US-CP-000014","US-CW-000007","ORYNTH-systems/orynth-constitutional-state-integrity","TEMPORAL-AUTHORITY / SOURCE-SCOPED-PROCEDURE","07-constitutional-state-integrity/temporal/TEMPORAL_AUTHORITY.schema.json","YES","C1","0","INTEGRATED-CORRESPONDENCE-UNBOUND"
"US-CM-000008","US-CONST-ATOM-000008","F3","UNITED-STATES/HOUSE/APPORTIONMENT","1","US-CP-000015","US-CW-000008","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000009","US-CONST-ATOM-000009","F3","UNITED-STATES/HOUSE/STATES","1","US-CP-000016","US-CW-000009","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
"US-CM-000010","US-CONST-ATOM-000010","F6","UNITED-STATES/HOUSE/INITIAL-STATE-ALLOCATION","2","US-CP-000017|US-CP-000018","US-CW-000010","ORYNTH-systems/orynth-constitutional-state-integrity","NONE-DEMONSTRATED","","NO-DEMONSTRATED","C0","0","INTEGRATED-C0-NO-DEMONSTRATED"
